Object ID,Department,AccessionYear,Object Name,Title,Culture,Artist,Artist Nationality,Artist Begin Date,Artist End Date,Artist Gender,Object Date,Object Begin Date,Object End Date,Dimensions,Credit Line,Classification,Link Resource,Repository
6258,The American Wing,1910,Plate,Plate,"Chinese, for American market",,,,,,1785–90,1785,1790,Diam. 9 in. (22.9 cm),"Bequest of James T. Woodward, 1910",Ceramics,http://www.metmuseum.org/art/collection/search/6258,"Metropolitan Museum of Art, New York, NY"
6259,The American Wing,1910,Plate,Plate,"Chinese, for American market",,,,,,1785–90,1785,1790,Diam. 9 in. (22.9 cm),"Bequest of James T. Woodward, 1910",Ceramics,http://www.metmuseum.org/art/collection/search/6259,"Metropolitan Museum of Art, New York, NY"
6260,The American Wing,1910,Plate,Plate,"Chinese, for American market",,,,,,1785–90,1785,1790,Diam. 9 in. (22.9 cm),"Bequest of James T. Woodward, 1910",Ceramics,http://www.metmuseum.org/art/collection/search/6260,"Metropolitan Museum of Art, New York, NY"
6261,The American Wing,1910,Plate,Plate,"Chinese, for American market",,,,,,1785–90,1785,1790,Diam. 9 in. (22.9 cm),"Bequest of James T. Woodward, 1910",Ceramics,http://www.metmuseum.org/art/collection/search/6261,"Metropolitan Museum of Art, New York, NY"
6262,The American Wing,1910,Plate,Plate,"Chinese, for American market",,,,,,1785–90,1785,1790,Diam. 9 in. (22.9 cm),"Bequest of James T. Woodward, 1910",Ceramics,http://www.metmuseum.org/art/collection/search/6262,"Metropolitan Museum of Art, New York, NY"
6263,The American Wing,1910,Plate,Plate,"Chinese, for American market",,,,,,1785–90,1785,1790,Diam. 9 in. (22.9 cm),"Bequest of James T. Woodward, 1910",Ceramics,http://www.metmuseum.org/art/collection/search/6263,"Metropolitan Museum of Art, New York, NY"
6264,The American Wing,1910,Plate,Plate,"Chinese, for American market",,,,,,1785–90,1785,1790,Diam. 9 in. (22.9 cm),"Bequest of James T. Woodward, 1910",Ceramics,http://www.metmuseum.org/art/collection/search/6264,"Metropolitan Museum of Art, New York, NY"
6265,The American Wing,1910,Plate,Plate,"Chinese, for American market",,,,,,1785–90,1785,1790,Diam. 9 in. (22.9 cm),"Bequest of James T. Woodward, 1910",Ceramics,http://www.metmuseum.org/art/collection/search/6265,"Metropolitan Museum of Art, New York, NY"
6266,The American Wing,1910,Plate,Plate,"Chinese, for American market",,,,,,1785–90,1785,1790,Diam. 9 in. (22.9 cm),"Bequest of James T. Woodward, 1910",Ceramics,http://www.metmuseum.org/art/collection/search/6266,"Metropolitan Museum of Art, New York, NY"
6267,The American Wing,1910,Plate,Plate,"Chinese, for American market",,,,,,1785–90,1785,1790,Diam. 9 in. (22.9 cm),"Bequest of James T. Woodward, 1910",Ceramics,http://www.metmuseum.org/art/collection/search/6267,"Metropolitan Museum of Art, New York, NY"
