Object ID,Department,AccessionYear,Object Name,Title,Culture,Artist,Artist Nationality,Artist Begin Date,Artist End Date,Artist Gender,Object Date,Object Begin Date,Object End Date,Dimensions,Credit Line,Classification,Link Resource,Repository
6319,The American Wing,1960,Plate,Plate,"Chinese, for American market",,,,,,ca. 1860–66,1860,1866,Diam. 9 1/2 in. (24.1 cm),"Gift of Elizabeth Hazard and Marion H. McVitty, in memory of their mother, Mrs. Lauriston H. Hazard, 1960",Ceramics,http://www.metmuseum.org/art/collection/search/6319,"Metropolitan Museum of Art, New York, NY"
6320,The American Wing,1960,Plate,Plate,"Chinese, for American market",,,,,,ca. 1860–66,1860,1866,Diam. 9 1/2 in. (24.1 cm),"Gift of Elizabeth Hazard and Marion H. McVitty, in memory of their mother, Mrs. Lauriston H. Hazard, 1960",Ceramics,http://www.metmuseum.org/art/collection/search/6320,"Metropolitan Museum of Art, New York, NY"
6321,The American Wing,1960,Plate,Plate,"Chinese, for American market",,,,,,ca. 1860–66,1860,1866,Diam. 9 1/2 in. (24.1 cm),"Gift of Elizabeth Hazard and Marion H. McVitty, in memory of their mother, Mrs. Lauriston H. Hazard, 1960",Ceramics,http://www.metmuseum.org/art/collection/search/6321,"Metropolitan Museum of Art, New York, NY"
6322,The American Wing,1960,Plate,Plate,"Chinese, for American market",,,,,,ca. 1860–66,1860,1866,Diam. 9 1/2 in. (24.1 cm),"Gift of Elizabeth Hazard and Marion H. McVitty, in memory of their mother, Mrs. Lauriston H. Hazard, 1960",Ceramics,http://www.metmuseum.org/art/collection/search/6322,"Metropolitan Museum of Art, New York, NY"
6323,The American Wing,1960,Plate,Plate,"Chinese, for American market",,,,,,ca. 1860–66,1860,1866,Diam. 9 1/2 in. (24.1 cm),"Gift of Elizabeth Hazard and Marion H. McVitty, in memory of their mother, Mrs. Lauriston H. Hazard, 1960",Ceramics,http://www.metmuseum.org/art/collection/search/6323,"Metropolitan Museum of Art, New York, NY"
6324,The American Wing,1960,Plate,Plate,"Chinese, for American market",,,,,,ca. 1860–66,1860,1866,Diam. 9 1/2 in. (24.1 cm),"Gift of Elizabeth Hazard and Marion H. McVitty, in memory of their mother, Mrs. Lauriston H. Hazard, 1960",Ceramics,http://www.metmuseum.org/art/collection/search/6324,"Metropolitan Museum of Art, New York, NY"
6325,The American Wing,1960,Plate,Plate,"Chinese, for American market",,,,,,ca. 1860–66,1860,1866,Diam. 9 1/2 in. (24.1 cm),"Gift of Elizabeth Hazard and Marion H. McVitty, in memory of their mother, Mrs. Lauriston H. Hazard, 1960",Ceramics,http://www.metmuseum.org/art/collection/search/6325,"Metropolitan Museum of Art, New York, NY"
6326,The American Wing,1960,Plate,Plate,"Chinese, for American market",,,,,,ca. 1860–66,1860,1866,Diam. 9 1/2 in. (24.1 cm),"Gift of Elizabeth Hazard and Marion H. McVitty, in memory of their mother, Mrs. Lauriston H. Hazard, 1960",Ceramics,http://www.metmuseum.org/art/collection/search/6326,"Metropolitan Museum of Art, New York, NY"
6327,The American Wing,1960,Plate,Plate,"Chinese, for American market",,,,,,ca. 1860–66,1860,1866,Diam. 9 1/2 in. (24.1 cm),"Gift of Elizabeth Hazard and Marion H. McVitty, in memory of their mother, Mrs. Lauriston H. Hazard, 1960",Ceramics,http://www.metmuseum.org/art/collection/search/6327,"Metropolitan Museum of Art, New York, NY"
6328,The American Wing,1960,Plate,Plate,"Chinese, for American market",,,,,,ca. 1860–66,1860,1866,Diam. 9 1/2 in. (24.1 cm),"Gift of Elizabeth Hazard and Marion H. McVitty, in memory of their mother, Mrs. Lauriston H. Hazard, 1960",Ceramics,http://www.metmuseum.org/art/collection/search/6328,"Metropolitan Museum of Art, New York, NY"
