last_name,first_name,birth,death,function,languages,raw_entry,author_id
Jefferson,Thomas,1743,1826,author,en,"Jefferson, Thomas, 1743-1826",1
United States,,,,author,en,United States,2
Kennedy,John Fitzgerald,1917,1963,author,en,"Kennedy, John F. (John Fitzgerald), 1917-1963",3
Lincoln,Abraham,1809,1865,author,en,"Lincoln, Abraham, 1809-1865",4
Henry,Patrick,1736,1799,author,en,"Henry, Patrick, 1736-1799",5
,,,,,,,6
Carroll,Lewis,1832,1898,author,en,"Carroll, Lewis, 1832-1898",7
United States. Central Intelligence Agency,,,,author,en,United States. Central Intelligence Agency,8
Melville,Herman,1819,1891,author,en,"Melville, Herman, 1819-1891",9
Barrie,James Matthew,1860,1937,author,en,"Barrie, J. M. (James Matthew), 1860-1937",10
Smith,"Joseph, Jr.",1805,1844,author,en,"Smith, Joseph, Jr., 1805-1844",11
Church of Jesus Christ of Latter-day Saints,,,,author,en,Church of Jesus Christ of Latter-day Saints,12
Hamilton,Alexander,1757,1804,author,en,"Hamilton, Alexander, 1757-1804",13
Jay,John,1745,1829,author,en,"Jay, John, 1745-1829",14
Madison,James,1751,1836,author,en,"Madison, James, 1751-1836",15
Longfellow,Henry Wadsworth,1807,1882,author,en,"Longfellow, Henry Wadsworth, 1807-1882",16
Morris,Woodrow W.,,,editor,en,"Morris, Woodrow W. [Editor]",17
Milton,John,1608,1674,author,en,"Milton, John, 1608-1674",18
Aesop,621? BCE-565? BCE,,,author,en,"Aesop, 621? BCE-565? BCE",19
Townsend,George Fyler,1814,1900,translator,en,"Townsend, George Fyler, 1814-1900 [Translator]",20
Roget,Peter Mark,1779,1869,author,en,"Roget, Peter Mark, 1779-1869",21
Douglass,Frederick,1818,1895,author,en,"Douglass, Frederick, 1818-1895",22
Cather,Willa,1873,1947,author,en,"Cather, Willa, 1873-1947",23
Hardy,Thomas,1840,1928,author,en,"Hardy, Thomas, 1840-1928",24
Jacobs,Joseph,1854,1916,editor,en,"Jacobs, Joseph, 1854-1916 [Editor]",25
United States. Bureau of the Census,,,,author,en,United States. Bureau of the Census,26
Sophocles,496? BCE-407 BCE,,,author,en,"Sophocles, 496? BCE-407 BCE",27
Storr,Francis,1839,1919,translator,en,"Storr, Francis, 1839-1919 [Translator]",28
Gilman,Charlotte Perkins,1860,1935,author,en,"Gilman, Charlotte Perkins, 1860-1935",29
Hawthorne,Nathaniel,1804,1864,author,en,"Hawthorne, Nathaniel, 1804-1864",30
Kehoe,Brendan P.,1970,2011,author,en,"Kehoe, Brendan P., 1970-2011",31
Wells,Herbert George,1866,1946,author,en,"Wells, H. G. (Herbert George), 1866-1946",32
Raymond,Eric S.,1957,,editor,en,"Raymond, Eric S., 1957- [Editor]",33
Steele,Guy L.,1954,,editor,en,"Steele, Guy L., 1954- [Editor]",34
Krol,Ed,1951,,author,en,"Krol, Ed, 1951-",35
Kochmer,Jonathan,,,author,en,"Kochmer, Jonathan",36
Irving,Washington,1783,1859,author,en,"Irving, Washington, 1783-1859",37
Stevenson,Robert Louis,1850,1894,author,en,"Stevenson, Robert Louis, 1850-1894",38
Montgomery,Lucy Maud,1874,1942,author,en,"Montgomery, L. M. (Lucy Maud), 1874-1942",39
Dickens,Charles,1812,1870,author,en,"Dickens, Charles, 1812-1870",40
Leech,John,1817,1864,illustrator,en,"Leech, John, 1817-1864 [Illustrator]",41
Polly,Jean Armour,,,author,en,"Polly, Jean Armour",42
Hemphill,Scott,,,author,en,"Hemphill, Scott",43
Kerr,Stan,,,author,en,"Kerr, Stan",44
Library of Congress,,,,author,en,Library of Congress,45
Daly,James,1948,,editor,en,"Daly, James, 1948- [Editor]",46
Baum,Lyman Frank,1856,1919,author,en,"Baum, L. Frank (Lyman Frank), 1856-1919",47
Neill,John Rea,1877,1943,illustrator,en,"Neill, John R. (John Rea), 1877-1943 [Illustrator]",48
Unknown,,,,author,en,Unknown,49
Descartes,René,1596,1650,author,en,"Descartes, René, 1596-1650",50
Veitch,John,1829,1894,translator,en,"Veitch, John, 1829-1894 [Translator]",51
Orczy,"Emmuska Orczy, Baroness",1865,1947,author,en,"Orczy, Emmuska Orczy, Baroness, 1865-1947",52
Marx,Karl,1818,1883,author,en,"Marx, Karl, 1818-1883",53
Engels,Friedrich,1820,1895,author,en,"Engels, Friedrich, 1820-1895",54
Burroughs,Edgar Rice,1875,1950,author,en,"Burroughs, Edgar Rice, 1875-1950",55
Joly,Norman F.,,,author,en,"Joly, Norman F.",56
Coombs,Norman,1932,,author,en,"Coombs, Norman, 1932-",57
Slowinski,David,,,author,en,"Slowinski, David",58
Twain,Mark,1835,1910,author,en,"Twain, Mark, 1835-1910",59
Thoreau,Henry David,1817,1862,author,en,"Thoreau, Henry David, 1817-1862",60
Crane,Stephen,1871,1900,author,en,"Crane, Stephen, 1871-1900",61
Goodwin,John E.,,,author,en,"Goodwin, John E.",62
Kemble,Edward Windsor,1861,1933,illustrator,en,"Kemble, E. W. (Edward Windsor), 1861-1933 [Illustrator]",63
Schwartau,Winn,1952,,author,en,"Schwartau, Winn, 1952-",64
De Presno,Odd,1944,,author,en,"De Presno, Odd, 1944-",65
Scott,Walter,1771,1832,author,en,"Scott, Walter, 1771-1832",66
Verne,Jules,1828,1905,author,en,"Verne, Jules, 1828-1905",67
Shelley,Mary Wollstonecraft,1797,1851,author,en,"Shelley, Mary Wollstonecraft, 1797-1851",68
Hart,Michael,1947,2011,author,en,"Hart, Michael, 1947-2011",69
Canada,,,,author,en,Canada,70
Hope,Anthony,1863,1933,author,en,"Hope, Anthony, 1863-1933",71
Abbott,Edwin Abbott,1838,1926,author,en,"Abbott, Edwin Abbott, 1838-1926",72
Shakespeare,William,1564,1616,author,en,"Shakespeare, William, 1564-1616",73
Sterling,Bruce,1954,,author,en,"Sterling, Bruce, 1954-",74
Roosevelt,Franklin Delano,1882,1945,author,en,"Roosevelt, Franklin D. (Franklin Delano), 1882-1945",75
Austen,Jane,1775,1817,author,en,"Austen, Jane, 1775-1817",76
Doyle,Arthur Conan,1859,1930,author,en,"Doyle, Arthur Conan, 1859-1930",77
Millay,Edna St. Vincent,1892,1950,author,en,"Millay, Edna St. Vincent, 1892-1950",78
Stratton-Porter,Gene,1863,1924,author,en,"Stratton-Porter, Gene, 1863-1924",79
McGowan,Richard,1958,,author,en,"McGowan, Richard, 1958-",80
Burnett,Frances Hodgson,1849,1924,author,en,"Burnett, Frances Hodgson, 1849-1924",81
Tenniel,John,1820,1914,author,en,"Tenniel, John, 1820-1914",82
Beethoven,Ludwig van,1770,1827,author,en,"Beethoven, Ludwig van, 1770-1827",83
Electronic Frontier Foundation,,,,author,en,Electronic Frontier Foundation,84
Gaffin,Adam,,,"author of introduction, etc.",en,"Gaffin, Adam [Author of introduction, etc.]",85
Kapor,Mitchell,,,"author of introduction, etc.",en,"Kapor, Mitchell [Author of introduction, etc.]",86
Rhead,Louis,1857,1926,illustrator,en,"Rhead, Louis, 1857-1926 [Illustrator]",87
Anonymous,,,,author,en,Anonymous,88
Nemiroff,Robert J.,,,author,en,"Nemiroff, Robert J.",89
Bonnell,Jerry T.,,,author,en,"Bonnell, Jerry T.",90
Lang,Andrew,1844,1912,author,en,"Lang, Andrew, 1844-1912",91
Chesterton,Gilbert Keith,1874,1936,author,en,"Chesterton, G. K. (Gilbert Keith), 1874-1936",92
Bunyan,John,1628,1688,author,en,"Bunyan, John, 1628-1688",93
Sunzi,active 6th century B.C.,,,author,en,"Sunzi, active 6th century B.C.",94
Giles,Lionel,1875,1958,translator,en,"Giles, Lionel, 1875-1958 [Translator]",95
Frederic,Harold,1856,1898,author,en,"Frederic, Harold, 1856-1898",96
Wollstonecraft,Mary,1759,1797,author,en,"Wollstonecraft, Mary, 1759-1797",97
Hugo,Victor,1802,1885,author,en,"Hugo, Victor, 1802-1885",98
Hapgood,Isabel Florence,1850,1928,translator,en,"Hapgood, Isabel Florence, 1850-1928 [Translator]",99
Doumic,René,1860,1937,author,en,"Doumic, René, 1860-1937",100
Hallard,Alys,,,translator,en,"Hallard, Alys [Translator]",101
Sinclair,Upton,1878,1968,author,en,"Sinclair, Upton, 1878-1968",102
Woolf,Virginia,1882,1941,author,en,"Woolf, Virginia, 1882-1941",103
Eliot,George,1819,1880,author,en,"Eliot, George, 1819-1880",104
Paine,Thomas,1737,1809,author,en,"Paine, Thomas, 1737-1809",105
Franklin,Benjamin,1706,1790,author,en,"Franklin, Benjamin, 1706-1790",106
Eliot,Charles William,1834,1926,editor,en,"Eliot, Charles William, 1834-1926 [Editor]",107
Plato,428? BCE-348? BCE,,,author,en,"Plato, 428? BCE-348? BCE",108
Jowett,Benjamin,1817,1893,translator,en,"Jowett, Benjamin, 1817-1893 [Translator]",109
Coleridge,Samuel Taylor,1772,1834,author,en,"Coleridge, Samuel Taylor, 1772-1834",110
Sprague,Ruth M.,,,author,en,"Sprague, Ruth M.",111
Howells,William Dean,1837,1920,author,en,"Howells, William Dean, 1837-1920",112
Collins,Wilkie,1824,1889,author,en,"Collins, Wilkie, 1824-1889",113
Webster,Jean,1876,1916,author,en,"Webster, Jean, 1876-1916",114
Chopin,Kate,1850,1904,author,en,"Chopin, Kate, 1850-1904",115
Laxer,Mark E.,,,author,en,"Laxer, Mark E.",116
Alcott,Louisa May,1832,1888,author,en,"Alcott, Louisa May, 1832-1888",117
Norris,Frank,1870,1902,author,en,"Norris, Frank, 1870-1902",118
Wharton,Edith,1862,1937,author,en,"Wharton, Edith, 1862-1937",119
Humphrey,Samuel Dwight,1823,1883,author,en,"Humphrey, S. D. (Samuel Dwight), 1823-1883",120
Snelling,Henry Hunt,1816,1897,author,en,"Snelling, Henry Hunt, 1816-1897",121
Morris,William,1834,1896,author,en,"Morris, William, 1834-1896",122
Rowson,Mrs.,1762,1824,author,en,"Rowson, Mrs., 1762-1824",123
Morley,Christopher,1890,1957,author,en,"Morley, Christopher, 1890-1957",124
Rohmer,Sax,1883,1959,author,en,"Rohmer, Sax, 1883-1959",125
Wilde,Oscar,1854,1900,author,en,"Wilde, Oscar, 1854-1900",126
Leroux,Gaston,1868,1927,author,en,"Leroux, Gaston, 1868-1927",127
James,Henry,1843,1916,author,en,"James, Henry, 1843-1916",128
Perathoner,Marcello,,,author,en,"Perathoner, Marcello",129
Project Gutenberg,,,,author,en,Project Gutenberg,130
Stowe,Harriet Beecher,1811,1896,author,en,"Stowe, Harriet Beecher, 1811-1896",131
Various,,,,author,en,Various,132
Service,Robert William,1874,1958,author,en,"Service, Robert W. (Robert William), 1874-1958",133
Paterson,Andrew Barton,1864,1941,author,en,"Paterson, A. B. (Andrew Barton), 1864-1941",134
Lawson,Henry,1867,1922,author,en,"Lawson, Henry, 1867-1922",135
London,Jack,1876,1916,author,en,"London, Jack, 1876-1916",136
Laozi,,,,author,en,Laozi,137
Legge,James,1815,1897,translator,en,"Legge, James, 1815-1897 [Translator]",138
Lawrence,David Herbert,1885,1930,author,en,"Lawrence, D. H. (David Herbert), 1885-1930",139
Caesar,"Julius, 100 BCE-44 BCE",,,author,la,"Caesar, Julius, 100 BCE-44 BCE",140
Conrad,Joseph,1857,1924,author,en,"Conrad, Joseph, 1857-1924",141
Maugham,William Somerset,1874,1965,author,en,"Maugham, W. Somerset (William Somerset), 1874-1965",142
MacDonald,George,1824,1905,author,en,"MacDonald, George, 1824-1905",143
Cicero,"Marcus Tullius, 107 BCE-44 BCE",,,author,la,"Cicero, Marcus Tullius, 107 BCE-44 BCE",144
Virgil,71 BCE-20 BCE,,,author,la,"Virgil, 71 BCE-20 BCE",145
Dryden,John,1631,1700,translator,en,"Dryden, John, 1631-1700 [Translator]",146
Rhoades,James,1841,1923,translator,en,"Rhoades, James, 1841-1923 [Translator]",147
Dreiser,Theodore,1871,1945,author,en,"Dreiser, Theodore, 1871-1945",148
Salza,Giuseppe,,,author,en,"Salza, Giuseppe",149
Kipling,Rudyard,1865,1936,author,en,"Kipling, Rudyard, 1865-1936",150
Propertius,Sextus,,,author,la,"Propertius, Sextus",151
Harris,Robert Alan,1950,,author,en,"Harris, Robert A. (Robert Alan), 1950-",152
Brown,William Wells,1814,1884,author,en,"Brown, William Wells, 1814?-1884",153
Tolstoy,"Leo, graf",1828,1910,author,en,"Tolstoy, Leo, graf, 1828-1910",154
Wright,Charles Theodore Hagberg,1862,1940,editor,en,"Wright, C. T. Hagberg (Charles Theodore Hagberg), 1862-1940 [Editor]",155
Omar Khayyam,,1048,1122,author,en,"Omar Khayyam, 1048-1122",156
FitzGerald,Edward,1809,1883,translator,en,"FitzGerald, Edward, 1809-1883 [Translator]",157
Webster,Noah,1758,1843,author,en,"Webster, Noah, 1758-1843",158
Fuller,Maxwell,,,author,en,"Fuller, Maxwell",159
Library of Congress. Copyright Office,,,,author,en,Library of Congress. Copyright Office,160
Coalition for Networked Information,,,,author,en,Coalition for Networked Information,161
Scavezze,Dan,,,author,en,"Scavezze, Dan",162
Chaucer,Geoffrey,1343,1400,author,en,"Chaucer, Geoffrey, 1343?-1400",163
Gordon,Adam Lindsay,1833,1870,author,en,"Gordon, Adam Lindsay, 1833-1870",164
Clarke,Marcus Andrew Hislop,1846,1881,editor,en,"Clarke, Marcus Andrew Hislop, 1846-1881 [Editor]",165
Browning,Robert,1812,1889,author,en,"Browning, Robert, 1812-1889",166
Corson,Hiram,1828,1911,author,en,"Corson, Hiram, 1828-1911",167
Lowell,Amy,1874,1925,author,en,"Lowell, Amy, 1874-1925",168
Brooke,Rupert,1887,1915,author,en,"Brooke, Rupert, 1887-1915",169
Woodberry,George Edward,1855,1930,"author of introduction, etc.",en,"Woodberry, George Edward, 1855-1930 [Author of introduction, etc.]",170
Lavington,Margaret,,,contributor,en,"Lavington, Margaret [Contributor]",171
Kilmer,Joyce,1886,1918,author,en,"Kilmer, Joyce, 1886-1918",172
Collingwood,William Gershom,1854,1932,translator,en,"Collingwood, W. G. (William Gershom), 1854-1932 [Translator]",173
Jón Stefánsson,,1862,,translator,en,"Jón Stefánsson, 1862- [Translator]",174
Gower,John,1325,1408,author,en,"Gower, John, 1325?-1408",175
Macaulay,George Campbell,1852,1915,editor,en,"Macaulay, G. C. (George Campbell), 1852-1915 [Editor]",176
Saki,,1870,1916,author,en,"Saki, 1870-1916",177
Grahame,Kenneth,1859,1932,author,en,"Grahame, Kenneth, 1859-1932",178
Sewell,Anna,1820,1878,author,en,"Sewell, Anna, 1820-1878",179
Luther,Martin,1483,1546,author,en,"Luther, Martin, 1483-1546",180
Mann,Gary,,,translator,en,"Mann, Gary [Translator]",181
Bente,Friedrich,1858,1930,translator,en,"Bente, F. (Friedrich), 1858-1930 [Translator]",182
Dau,William Herman Theodore,1864,1944,translator,en,"Dau, W. H. T. (William Herman Theodore), 1864-1944 [Translator]",183
Melanchthon,Philipp,1497,1560,author,en,"Melanchthon, Philipp, 1497-1560",184
Haydn,Joseph,1732,1809,author,en,"Haydn, Joseph, 1732-1809",185
National Atomic Museum (U.S.),,,,author,en,National Atomic Museum (U.S.),186
White Sands Missile Range (N.M.). Public Affairs Office,,,,author,en,White Sands Missile Range (N.M.). Public Affairs Office,187
White Sands Missile Range (N.M.). Public Affairs Office,,,,contributor,en,White Sands Missile Range (N.M.). Public Affairs Office [Contributor],188
Kinglake,Alexander William,1809,1891,author,en,"Kinglake, Alexander William, 1809-1891",189
Hyne,Charles John Cutcliffe Wright,1866,1944,author,en,"Hyne, Charles John Cutcliffe Wright, 1866-1944",190
Barr,Amelia E.,1831,1919,author,en,"Barr, Amelia E., 1831-1919",191
Cabell,James Branch,1879,1958,author,en,"Cabell, James Branch, 1879-1958",192
Taylor,Bayard,1825,1878,author,en,"Taylor, Bayard, 1825-1878",193
Alger,"Horatio, Jr.",1832,1899,author,en,"Alger, Horatio, Jr., 1832-1899",194
Tarkington,Booth,1869,1946,author,en,"Tarkington, Booth, 1869-1946",195
Boyesen,Hjalmar Hjorth,1848,1895,author,en,"Boyesen, Hjalmar Hjorth, 1848-1895",196
Husted,Michael,,,author,en,"Husted, Michael",197
Gaboriau,Emile,1832,1873,author,en,"Gaboriau, Emile, 1832-1873",198
Jerome,Jerome Klapka,1859,1927,author,en,"Jerome, Jerome K. (Jerome Klapka), 1859-1927",199
Benét,Stephen Vincent,1898,1943,author,en,"Benét, Stephen Vincent, 1898-1943",200
Robinson,Edwin Arlington,1869,1935,author,en,"Robinson, Edwin Arlington, 1869-1935",201
Dobie,James Frank,1888,1964,author,en,"Dobie, J. Frank (James Frank), 1888-1964",202
Drake,Joseph Rodman,1795,1820,author,en,"Drake, Joseph Rodman, 1795-1820",203
Gregory,Eliot,1854,1915,author,en,"Gregory, Eliot, 1854-1915",204
Fox,"John, Jr.",1862,1919,author,en,"Fox, John, Jr., 1862-1919",205
Muir,John,1838,1914,author,en,"Muir, John, 1838-1914",206
Badè,William Frederic,1871,1936,editor,en,"Badè, William Frederic, 1871-1936 [Editor]",207
Davis,Richard Harding,1864,1916,author,en,"Davis, Richard Harding, 1864-1916",208
Guest,Edgar Albert,1881,1959,author,en,"Guest, Edgar A. (Edgar Albert), 1881-1959",209
Rinehart,Mary Roberts,1876,1958,author,en,"Rinehart, Mary Roberts, 1876-1958",210
Page,Thomas Nelson,1853,1922,author,en,"Page, Thomas Nelson, 1853-1922",211
Raleigh,"Walter Alexander, Sir",1861,1922,author,en,"Raleigh, Walter Alexander, Sir, 1861-1922",212
Davis,Rebecca Harding,1831,1910,author,en,"Davis, Rebecca Harding, 1831-1910",213
Eastman,Charles A.,1858,1939,author,en,"Eastman, Charles A., 1858-1939",214
Zitkala-Sa,,1876,1938,author,en,"Zitkala-Sa, 1876-1938",215
McLaughlin,Marie L.,1842,,author,en,"McLaughlin, Marie L., 1842-",216
Stoker,Bram,1847,1912,author,en,"Stoker, Bram, 1847-1912",217
Hesiod,,,,author,en,Hesiod,218
Evelyn-White,Hugh Gerard,1884,1924,translator,en,"Evelyn-White, Hugh G. (Hugh Gerard), 1884-1924 [Translator]",219
Ferber,Edna,1885,1968,author,en,"Ferber, Edna, 1885-1968",220
McCrae,John,1872,1918,author,en,"McCrae, John, 1872-1918",221
Macphail,Andrew,1864,1938,contributor,en,"Macphail, Andrew, 1864-1938 [Contributor]",222
Shaw,Anna Howard,1847,1919,author,en,"Shaw, Anna Howard, 1847-1919",223
Jordan,Elizabeth Garver,1867,1947,author,en,"Jordan, Elizabeth Garver, 1867-1947",224
Olcott,Frances Jenkins,1872,1963,author,en,"Olcott, Frances Jenkins, 1872-1963",225
Proudhon,Pierre-Joseph,1809,1865,author,en,"Proudhon, P.-J. (Pierre-Joseph), 1809-1865",226
Porter,Eleanor Hodgman,1868,1920,author,en,"Porter, Eleanor H. (Eleanor Hodgman), 1868-1920",227
Austin,Mary,1868,1934,author,en,"Austin, Mary, 1868-1934",228
Jewett,Sarah Orne,1849,1909,author,en,"Jewett, Sarah Orne, 1849-1909",229
Conwell,Russell H.,1843,1925,author,en,"Conwell, Russell H., 1843-1925",230
Shackleton,Robert,1860,1923,contributor,en,"Shackleton, Robert, 1860-1923 [Contributor]",231
Defoe,Daniel,1661,1731,author,en,"Defoe, Daniel, 1661?-1731",232
Wheatley,Henry Benjamin,1838,1917,author,en,"Wheatley, Henry B. (Henry Benjamin), 1838-1917",233
Stevenson,Fanny Van de Grift,1840,1914,"author of introduction, etc.",en,"Stevenson, Fanny Van de Grift, 1840-1914 [Author of introduction, etc.]",234
Bierce,Ambrose,1842,1914,author,en,"Bierce, Ambrose, 1842-1914?",235
Barker,Nettie Garmer,1882,1953,author,en,"Barker, Nettie Garmer, 1882-1953",236
Martorell,"Joanot, -1468",,,author,en,"Martorell, Joanot, -1468",237
Galba,"Martí Joan de, -1490",,,author,en,"Galba, Martí Joan de, -1490",238
Rudder,Robert S.,,,translator,en,"Rudder, Robert S. [Translator]",239
Goldsmith,Oliver,1730,1774,author,en,"Goldsmith, Oliver, 1730?-1774",240
Grey,Zane,1872,1939,author,en,"Grey, Zane, 1872-1939",241
Churchill,Winston,1871,1947,author,en,"Churchill, Winston, 1871-1947",242
Machen,Arthur,1863,1947,author,en,"Machen, Arthur, 1863-1947",243
Cranmer-Byng,Launcelot,1872,1945,author,en,"Cranmer-Byng, L. (Launcelot), 1872-1945",244
Scott-Moncrieff,Charles Kenneth,1889,1930,translator,en,"Scott-Moncrieff, C. K. (Charles Kenneth), 1889-1930 [Translator]",245
Tasso,Torquato,1544,1595,author,en,"Tasso, Torquato, 1544-1595",246
Fairfax,"Edward, -1635",,,translator,en,"Fairfax, Edward, -1635 [Translator]",247
Stacpoole,Henry De Vere,1863,1951,author,en,"Stacpoole, H. De Vere (Henry De Vere), 1863-1951",248
Gaskell,Elizabeth Cleghorn,1810,1865,author,en,"Gaskell, Elizabeth Cleghorn, 1810-1865",249
Brock,Charles Edmund,1870,1938,illustrator,en,"Brock, C. E. (Charles Edmund), 1870-1938 [Illustrator]",250
Stockton,Frank R.,1834,1902,author,en,"Stockton, Frank R., 1834-1902",251
Platt,Rutherford Hayes,1894,1975,author,en,"Platt, Rutherford Hayes, 1894-1975",252
Teasdale,Sara,1884,1933,author,en,"Teasdale, Sara, 1884-1933",253
Smiles,Samuel,1812,1904,author,en,"Smiles, Samuel, 1812-1904",254
Davis,Charles Belmont,1866,1926,editor,en,"Davis, Charles Belmont, 1866-1926 [Editor]",255
Du Bois,William Edward Burghardt,1868,1963,author,en,"Du Bois, W. E. B. (William Edward Burghardt), 1868-1963",256
Wheatley,Phillis,1753,1784,author,en,"Wheatley, Phillis, 1753-1784",257
Hubbard,Elbert,1856,1915,author,en,"Hubbard, Elbert, 1856-1915",258
Jefferies,Richard,1848,1887,author,en,"Jefferies, Richard, 1848-1887",259
Borrow,George,1803,1881,author,en,"Borrow, George, 1803-1881",260
Anderson,Sherwood,1876,1941,author,en,"Anderson, Sherwood, 1876-1941",261
Allen,Nathan Hale,1848,1925,editor,de; en,"Allen, Nathan H. (Nathan Hale), 1848-1925 [Editor]",262
Bacon,Leonard Woolsey,1830,1907,editor,de; en,"Bacon, Leonard Woolsey, 1830-1907 [Editor]",263
Reu,Johann Michael,1869,1943,translator,en,"Reu, Johann Michael, 1869-1943 [Translator]",264
Lindsay,Vachel,1879,1931,author,en,"Lindsay, Vachel, 1879-1931",265
Phillips,David Graham,1867,1911,author,en,"Phillips, David Graham, 1867-1911",266
Wenzell,Albert Beck,1864,1917,illustrator,en,"Wenzell, A. B. (Albert Beck), 1864-1917 [Illustrator]",267
Houdini,Harry,1874,1926,author,en,"Houdini, Harry, 1874-1926",268
Luna,Juan de,1585,,contributor,en,"Luna, Juan de, 1585?- [Contributor]",269
Osbourne,Lloyd,1868,1947,"author of introduction, etc.",en,"Osbourne, Lloyd, 1868-1947 [Author of introduction, etc.]",270
Field,Eugene,1850,1895,author,en,"Field, Eugene, 1850-1895",271
Le Bon,Gustave,1841,1931,author,en,"Le Bon, Gustave, 1841-1931",272
Irving,Henry Brodribb,1870,1919,author,en,"Irving, H. B. (Henry Brodribb), 1870-1919",273
Healy,William,1869,1963,author,en,"Healy, William, 1869-1963",274
Healy,Mary Tenney,,,author,en,"Healy, Mary Tenney",275
Birrell,Augustine,1850,1933,commentator,en,"Birrell, Augustine, 1850-1933 [Commentator]",276
Sullivan,Edmund Joseph,1869,1933,illustrator,en,"Sullivan, Edmund J. (Edmund Joseph), 1869-1933 [Illustrator]",277
Leland,Charles Godfrey,1824,1903,author,en,"Leland, Charles Godfrey, 1824-1903",278
Parlette,Ralph Albert,1870,1930,author,en,"Parlette, Ralph Albert, 1870-1930",279
Marquis,Don,1878,1937,author,en,"Marquis, Don, 1878-1937",280
Yohn,Frederick Coffay,1875,1933,illustrator,en,"Yohn, F. C. (Frederick Coffay), 1875-1933 [Illustrator]",281
Le Gallienne,Richard,1866,1947,author,en,"Le Gallienne, Richard, 1866-1947",282
White,Stewart Edward,1873,1946,author,en,"White, Stewart Edward, 1873-1946",283
Steinmetz,Andrew,1816,1877,author,en,"Steinmetz, Andrew, 1816-1877",284
La Fayette,Marie-Madeleine Pioche de La Vergne,1634,1693,author,en,"La Fayette, Madame de (Marie-Madeleine Pioche de La Vergne), 1634-1693",285
Prévost,abbé,1697,1763,author,en,"Prévost, abbé, 1697-1763",286
Balzac,Honoré de,1799,1850,author,en,"Balzac, Honoré de, 1799-1850",287
Marriage,Ellen,1865,1946,translator,en,"Marriage, Ellen, 1865-1946 [Translator]",288
Chesnutt,Charles Waddell,1858,1932,author,en,"Chesnutt, Charles W. (Charles Waddell), 1858-1932",289
Bryant,Sara Cone,1873,1956,author,en,"Bryant, Sara Cone, 1873-1956",290
Booth,William,1829,1912,author,en,"Booth, William, 1829-1912",291
Nasmyth,James,1808,1890,author,en,"Nasmyth, James, 1808-1890",292
Smiles,Samuel,1812,1904,editor,en,"Smiles, Samuel, 1812-1904 [Editor]",293
Ferri,Enrico,1856,1929,author,en,"Ferri, Enrico, 1856-1929",294
Hutsko,Joe,1963,,author,en,"Hutsko, Joe, 1963-",295
Michelson,Miriam,1870,1942,author,en,"Michelson, Miriam, 1870-1942",296
Optic,Oliver,1822,1897,author,en,"Optic, Oliver, 1822-1897",297
Colvin,Sidney,1845,1927,editor,en,"Colvin, Sidney, 1845-1927 [Editor]",298
MacClure,Victor,1887,1963,author,en,"MacClure, Victor, 1887-1963",299
Calamity Jane,,1856,1903,author,en,"Calamity Jane, 1856-1903",300
Atherton,Gertrude Franklin Horn,1857,1948,author,en,"Atherton, Gertrude Franklin Horn, 1857-1948",301
Craik,Dinah Maria Mulock,1826,1887,author,en,"Craik, Dinah Maria Mulock, 1826-1887",302
Coke,Henry John,1827,1916,author,en,"Coke, Henry J. (Henry John), 1827-1916",303
Wiggin,Kate Douglas Smith,1856,1923,author,en,"Wiggin, Kate Douglas Smith, 1856-1923",304
Appleton,Victor,,,author,en,"Appleton, Victor",305
Collodi,Carlo,1826,1890,author,en,"Collodi, Carlo, 1826-1890",306
Della Chiesa,Carol,1887,1972,translator,en,"Della Chiesa, Carol, 1887-1972 [Translator]",307
Lofting,Hugh,1886,1947,author,en,"Lofting, Hugh, 1886-1947",308
Walpole,Hugh,1884,1941,"author of introduction, etc.",en,"Walpole, Hugh, 1884-1941 [Author of introduction, etc.]",309
Sousa,John Philip,1854,1932,author,en,"Sousa, John Philip, 1854-1932",310
White,Andrew Dickson,1832,1918,author,en,"White, Andrew Dickson, 1832-1918",311
Le Fanu,Joseph Sheridan,1814,1873,author,en,"Le Fanu, Joseph Sheridan, 1814-1873",312
Strong,Joseph Dwight,1853,1899,illustrator,en,"Strong, J. D. (Joseph Dwight), 1853-1899 [Illustrator]",313
Headland,Isaac Taylor,1859,1942,author,en,"Headland, Isaac Taylor, 1859-1942",314
Steedman,Amy,,,author,en,"Steedman, Amy",315
Crane,Walter,1845,1915,illustrator,en,"Crane, Walter, 1845-1915 [Illustrator]",316
Bower,B. M.,1871,1940,author,en,"Bower, B. M., 1871-1940",317
Tuckwell,William,1829,1919,author,en,"Tuckwell, William, 1829-1919",318
Lang,Andrew,1844,1912,editor,en,"Lang, Andrew, 1844-1912 [Editor]",319
Johnson,Clarence Edgar,1906,1994,author,en,"Johnson, Clarence Edgar, 1906-1994",320
Lewis,Sinclair,1885,1951,author,en,"Lewis, Sinclair, 1885-1951",321
Stout,Rex,1886,1975,author,en,"Stout, Rex, 1886-1975",322
Maag,Carl R.,,,author,en,"Maag, Carl R.",323
Rohrer,Steve,,,author,en,"Rohrer, Steve",324
Azuela,Mariano,1873,1952,author,en,"Azuela, Mariano, 1873-1952",325
Munguía,Enrique,1903,,translator,en,"Munguía, E. (Enrique), 1903- [Translator]",326
Tyler,Royall,1757,1826,author,en,"Tyler, Royall, 1757-1826",327
