last_name,first_name,birth,death,function,languages,raw_entry,author_id
Comins,Elizabeth Barker,1846,1922,author,en,"Comins, Elizabeth B. (Elizabeth Barker), 1846-1922",20757
Drummond,James,1816,1877,author,en,"Drummond, James, 1816-1877",20758
Hermann,Isaac,1838,1917,author,en,"Hermann, I. (Isaac), 1838-1917",20759
Barnes,Will Croft,1858,1936,author,en,"Barnes, Will C. (Will Croft), 1858-1936",20760
MacDonald,Alexander,1878,1939,author,en,"MacDonald, Alexander, 1878-1939",20761
Moresby,John,1830,1922,"author of introduction, etc.",en,"Moresby, John, 1830-1922 [Author of introduction, etc.]",20762
Bingham,Kate Boyles,1876,1959,author,en,"Bingham, Kate Boyles, 1876-1959",20763
Boyles,Virgil Dillin,1872,1965,author,en,"Boyles, Virgil D. (Virgil Dillin), 1872-1965",20764
Himmelwright,Abraham Lincoln Artman,1865,,author,en,"Himmelwright, A. L. A. (Abraham Lincoln Artman), 1865-",20765
Sibbald,James Romanes,,,translator,en,"Sibbald, James Romanes [Translator]",20766
Byrn,Edward Wright,1849,1921,author,en,"Byrn, Edward W. (Edward Wright), 1849-1921",20767
Krúdy,Gyula,1878,1933,author,hu,"Krúdy, Gyula, 1878-1933",20768
Santiago Vela,Gregorio de,1865,,author,en; ceb,"Santiago Vela, Gregorio de, 1865-",20769
Davis,Warren B.,1865,1928,illustrator,en,"Davis, Warren B., 1865-1928 [Illustrator]",20770
Gay,Mary Ann Harris,1827,,author,en,"Gay, Mary Ann Harris, 1827-",20771
Adams,Henry Gardiner,1812,1881,author,en,"Adams, H. G. (Henry Gardiner), 1812?-1881",20772
Dowling,Richard,1846,1898,author,en,"Dowling, Richard, 1846-1898",20773
Carocci,Guido,1851,1916,author,it,"Carocci, Guido, 1851-1916",20774
Hunt,Violet,1862,1942,author,en,"Hunt, Violet, 1862-1942",20775
Brébeuf,"Jean de, Saint",1593,1649,contributor,en,"Brébeuf, Jean de, Saint, 1593-1649 [Contributor]",20776
Bland,Salem Goldworth,1859,1950,author,en,"Bland, Salem Goldworth, 1859-1950",20777
Baskerville,Beatrice C.,1878,1955,author,en,"Baskerville, Beatrice C., 1878-1955",20778
Macdonell,Arthur Anthony,1854,1930,author,en,"Macdonell, Arthur Anthony, 1854-1930",20779
Pierotti,Ermete,,,author,en,"Pierotti, Ermete",20780
Bonney,Thomas George,1833,1923,translator,en,"Bonney, T. G. (Thomas George), 1833-1923 [Translator]",20781
Kirkwood,Daniel,1814,1895,author,en,"Kirkwood, Daniel, 1814-1895",20782
Nicolardot,Louis,1822,1888,author,fr,"Nicolardot, Louis, 1822-1888",20783
Walford,Edward,1823,1897,editor,en,"Walford, Edward, 1823-1897 [Editor]",20784
Wilson,Hill Peebles,1840,,author,en,"Wilson, Hill Peebles, 1840-",20785
Richardson,Russell,1881,,author,en,"Richardson, Russell, 1881-",20786
Cotter,Joseph Seamon,1861,1949,author,en,"Cotter, Joseph S. (Joseph Seamon), 1861-1949",20787
Crawhall,Joseph,1821,1896,illustrator,en,"Crawhall, Joseph, 1821-1896 [Illustrator]",20788
Gibbon,Frederick P.,,,author,en,"Gibbon, Frederick P.",20789
Crabtre,Addison Darre,,,author,en,"Crabtre, Addison Darre",20790
Quinn,Silvanus Jackson,1837,,author,en,"Quinn, S. J. (Silvanus Jackson), 1837-",20791
Cocke,Sarah Johnson,1865,1944,author,en,"Cocke, Sarah Johnson, 1865-1944",20792
Bonaventura,Arnaldo,1862,1952,author,it,"Bonaventura, Arnaldo, 1862-1952",20793
Miller,Delavan S.,,,author,en,"Miller, Delavan S.",20794
Manningham,"John, -1622",,,author,en,"Manningham, John, -1622",20795
Bruce,John,1802,1869,editor,en,"Bruce, John, 1802-1869 [Editor]",20796
Ford,Richard,1796,1858,author,en,"Ford, Richard, 1796-1858",20797
Márki,Sándor,1853,1925,author,hu,"Márki, Sándor, 1853-1925",20798
Du Verger de Saint-Thomas,"Charles, comte",,,author,fr,"Du Verger de Saint-Thomas, Charles, comte",20799
Harlow,Lewis Davis,1818,1895,author,en,"Harlow, Lewis D. (Lewis Davis), 1818-1895",20800
Mixson,Frank M.,1846,,author,en,"Mixson, Frank M., 1846-",20801
Fox-Davies,Arthur Charles,1871,1928,author,en,"Fox-Davies, Arthur Charles, 1871-1928",20802
Johnston,Graham,1869,,illustrator,en,"Johnston, Graham, 1869- [Illustrator]",20803
Finch-Crisp,William,1840,,author,en,"Finch-Crisp, William, 1840-",20804
Hamilton,Walter,1844,1899,author,en,"Hamilton, Walter, 1844-1899",20805
Bradbury,Ray,1920,2012,author,en,"Bradbury, Ray, 1920-2012",20806
Clark,Keith,1879,1951,author,en,"Clark, Keith, 1879-1951",20807
Cowan,Frank,1844,1905,author,en,"Cowan, Frank, 1844-1905",20808
Wilson,Charles Banks,,,illustrator,en,"Wilson, Charles Banks [Illustrator]",20809
Baxter,Richard,1615,1691,author,en,"Baxter, Richard, 1615-1691",20810
Shepard,Edward Morse,1850,1911,author,en,"Shepard, Edward Morse, 1850-1911",20811
Whymper,Edward,1840,1911,illustrator,en,"Whymper, Edward, 1840-1911 [Illustrator]",20812
Tangye,"Richard, Sir",1833,1906,author,en,"Tangye, Richard, Sir, 1833-1906",20813
Leighton,Alexander,1800,1874,author,en,"Leighton, Alexander, 1800-1874",20814
Ford,Horace Alfred,1822,1880,author,en,"Ford, Horace A. (Horace Alfred), 1822-1880",20815
Butt,William,1826,1911,author,en,"Butt, W. (William), 1826-1911",20816
Smith,Charlotte,1749,1806,author,en,"Smith, Charlotte, 1749-1806",20817
Bradbury,Ray,1920,2012,editor,en,"Bradbury, Ray, 1920-2012 [Editor]",20818
Sayre,Theodore Burt,1874,1954,author,en,"Sayre, Theodore Burt, 1874-1954",20819
Colborn,Edward F.,1854,1926,author,en,"Colborn, Edward F., 1854-1926",20820
Wyss,Johann Rudolf,1782,1830,editor,en,"Wyss, Johann Rudolf, 1782-1830 [Editor]",20821
Conway,Hugh,1847,1885,author,en,"Conway, Hugh, 1847-1885",20822
