Text#,Title,Authors,Subjects,Bookshelves
1,The Declaration of Independence of the United States of America,"Jefferson, Thomas, 1743-1826","United States -- History -- Revolution, 1775-1783 -- Sources; United States. Declaration of Independence",Politics; American Revolutionary War; United States Law; Browsing: History - American; Browsing: History - Warfare; Browsing: Politics
2,"The United States Bill of Rights
The Ten Original Amendments to the Constitution of the United States",United States,Civil rights -- United States -- Sources; United States. Constitution. 1st-10th Amendments,Politics; American Revolutionary War; United States Law; Browsing: History - American; Browsing: Law & Criminology; Browsing: Politics
3,John F. Kennedy's Inaugural Address,"Kennedy, John F. (John Fitzgerald), 1917-1963",United States -- Foreign relations -- 1961-1963; Presidents -- United States -- Inaugural addresses,Browsing: History - American; Browsing: Politics
4,"Lincoln's Gettysburg Address
Given November 19, 1863 on the battlefield near Gettysburg, Pennsylvania, USA","Lincoln, Abraham, 1809-1865","Consecration of cemeteries -- Pennsylvania -- Gettysburg; Soldiers' National Cemetery (Gettysburg, Pa.); Lincoln, Abraham, 1809-1865. Gettysburg address",US Civil War; Browsing: History - American; Browsing: Politics
5,The United States Constitution,United States,United States -- Politics and government -- 1783-1789 -- Sources; United States. Constitution,United States; Politics; American Revolutionary War; United States Law; Browsing: History - American; Browsing: Law & Criminology; Browsing: Politics
6,Give Me Liberty or Give Me Death,"Henry, Patrick, 1736-1799","Speeches, addresses, etc., American; United States -- Politics and government -- 1775-1783 -- Sources; Virginia -- Politics and government -- 1775-1783 -- Sources",American Revolutionary War; Browsing: History - American; Browsing: History - Warfare; Browsing: Politics
7,The Mayflower Compact,,"Massachusetts -- History -- New Plymouth, 1620-1691 -- Sources; Pilgrims (New Plymouth Colony); Mayflower Compact (1620)",Browsing: History - American
8,Abraham Lincoln's Second Inaugural Address,"Lincoln, Abraham, 1809-1865",United States -- Politics and government -- 1861-1865; Presidents -- United States -- Inaugural addresses,US Civil War; Browsing: History - American; Browsing: Politics
9,Abraham Lincoln's First Inaugural Address,"Lincoln, Abraham, 1809-1865",United States -- Politics and government -- 1861-1865; Presidents -- United States -- Inaugural addresses,US Civil War; Browsing: History - American; Browsing: Politics
10,The King James Version of the Bible,,Bible,Banned Books List from the American Library Association; Browsing: History - Religious; Browsing: Religion/Spirituality/Paranormal
11,Alice's Adventures in Wonderland,"Carroll, Lewis, 1832-1898",Fantasy fiction; Children's stories; Imaginary places -- Juvenile fiction; Alice (Fictitious character from Carroll) -- Juvenile fiction,Children's Literature; Browsing: Children & Young Adult Reading; Browsing: Fiction
12,Through the Looking-Glass,"Carroll, Lewis, 1832-1898",Fantasy fiction; Children's stories; Imaginary places -- Juvenile fiction; Alice (Fictitious character from Carroll) -- Juvenile fiction,Children's Literature; Best Books Ever Listings; Browsing: Children & Young Adult Reading; Browsing: Literature; Browsing: Fiction
13,The Hunting of the Snark: An Agony in Eight Fits,"Carroll, Lewis, 1832-1898","Nonsense verses, English",Children's Literature; Browsing: Children & Young Adult Reading; Browsing: Literature
14,The 1990 CIA World Factbook,United States. Central Intelligence Agency,"World politics -- Handbooks, manuals, etc.; Geography -- Handbooks, manuals, etc.; Political science -- Handbooks, manuals, etc.; Political statistics -- Handbooks, manuals, etc.",CIA World Factbooks; Browsing: Encyclopedias/Dictionaries/Reference; Browsing: Politics; Browsing: Travel & Geography
15,"Moby-Dick; or, The Whale","Melville, Herman, 1819-1891","Whaling -- Fiction; Sea stories; Psychological fiction; Ship captains -- Fiction; Adventure stories; Mentally ill -- Fiction; Ahab, Captain (Fictitious character) -- Fiction; Whales -- Fiction; Whaling ships -- Fiction",Adventure; Best Books Ever Listings; Browsing: Literature; Browsing: Fiction
16,Peter Pan,"Barrie, J. M. (James Matthew), 1860-1937",Fantasy literature; Peter Pan (Fictitious character) -- Fiction; Never-Never Land (Imaginary place) -- Fiction; Pirates -- Fiction; Fairies -- Fiction,Children's Literature; Movie Books; Browsing: Children & Young Adult Reading; Browsing: Literature; Browsing: Science-Fiction & Fantasy; Browsing: Fiction
17,The Book of Mormon,"Smith, Joseph, Jr., 1805-1844; Church of Jesus Christ of Latter-day Saints",Church of Jesus Christ of Latter-day Saints -- Sacred books; Latter Day Saint churches -- Sacred books,Christianity; Latter Day Saints; Browsing: Philosophy & Ethics; Browsing: Religion/Spirituality/Paranormal
18,The Federalist Papers,"Hamilton, Alexander, 1757-1804; Jay, John, 1745-1829; Madison, James, 1751-1836",Constitutional history -- United States -- Sources; Constitutional law -- United States,Politics; Browsing: History - American; Browsing: Politics
19,The Song of Hiawatha,"Longfellow, Henry Wadsworth, 1807-1882; Morris, Woodrow W. [Editor]","Indians of North America -- Poetry; Hiawatha, active 15th century -- Poetry; Iroquois Indians -- Kings and rulers -- Poetry",Children's Literature; Poetry; Native America; Browsing: Children & Young Adult Reading; Browsing: Culture/Civilization/Society; Browsing: Literature; Browsing: Poetry
20,Paradise Lost,"Milton, John, 1608-1674",Fall of man -- Poetry; Adam (Biblical figure) -- Poetry; Eve (Biblical figure) -- Poetry; Bible. Genesis -- History of Biblical events -- Poetry,Poetry; Banned Books from Anne Haight's list; Browsing: Literature; Browsing: Poetry
21,"Aesop's Fables
Translated by George Fyler Townsend","Aesop, 621? BCE-565? BCE; Townsend, George Fyler, 1814-1900 [Translator]","Fables, Greek -- Translations into English; Aesop's fables -- Translations into English",Browsing: Culture/Civilization/Society; Browsing: Literature
22,Roget's Thesaurus,"Roget, Peter Mark, 1779-1869",English language -- Synonyms and antonyms,Reference; Browsing: Encyclopedias/Dictionaries/Reference; Browsing: Language & Communication; Browsing: Literature
23,"Narrative of the Life of Frederick Douglass, an American Slave","Douglass, Frederick, 1818-1895","Douglass, Frederick, 1818-1895; African American abolitionists -- Biography; Abolitionists -- United States -- Biography; Enslaved persons -- United States -- Biography",Slavery; African American Writers; Browsing: Biographies; Browsing: Culture/Civilization/Society; Browsing: History - American
24,O Pioneers!,"Cather, Willa, 1873-1947",Nebraska -- Fiction; Historical fiction; Frontier and pioneer life -- Nebraska -- Fiction; Domestic fiction; Siblings -- Fiction; Farm life -- Fiction; Women pioneers -- Fiction; Women farmers -- Fiction; Women immigrants -- Fiction; Swedish Americans -- Fiction,Browsing: Culture/Civilization/Society; Browsing: History - American; Browsing: Literature; Browsing: Fiction
25,The 1991 CIA World Factbook,United States. Central Intelligence Agency,"World politics -- Handbooks, manuals, etc.; Geography -- Handbooks, manuals, etc.; Political science -- Handbooks, manuals, etc.; Political statistics -- Handbooks, manuals, etc.",CIA World Factbooks; Browsing: Encyclopedias/Dictionaries/Reference; Browsing: Politics; Browsing: Travel & Geography
26,Paradise Lost,"Milton, John, 1608-1674",Fall of man -- Poetry; Adam (Biblical figure) -- Poetry; Eve (Biblical figure) -- Poetry; Bible. Genesis -- History of Biblical events -- Poetry,Browsing: Literature; Browsing: Poetry
27,Far from the Madding Crowd,"Hardy, Thomas, 1840-1928",Didactic fiction; Love stories; Triangles (Interpersonal relations) -- Fiction; Pastoral fiction; Farm life -- Fiction; Women farmers -- Fiction; Wessex (England) -- Fiction,Browsing: Culture/Civilization/Society; Browsing: Literature; Browsing: Fiction
28,"The Fables of Aesop
Selected, Told Anew, and Their History Traced","Aesop, 621? BCE-565? BCE; Jacobs, Joseph, 1854-1916 [Editor]","Aesop's fables -- Adaptations; Fables, Greek -- Adaptations",Harvard Classics; Browsing: Culture/Civilization/Society; Browsing: Literature
29,The 1990 United States Census,United States. Bureau of the Census,United States -- Population -- Statistics; United States -- Census; Housing -- United States -- Statistics,Browsing: Encyclopedias/Dictionaries/Reference; Browsing: History - American; Browsing: Sociology
30,"The Bible, King James Version, Complete",,Bible,Browsing: Philosophy & Ethics; Browsing: Religion/Spirituality/Paranormal
31,Plays of Sophocles: Oedipus the King; Oedipus at Colonus; Antigone,"Sophocles, 496? BCE-407 BCE; Storr, Francis, 1839-1919 [Translator]",Tragedies (Drama); Antigone (Mythological character) -- Drama; Oedipus (Greek mythological figure) -- Drama; Greek drama (Tragedy) -- Translations into English,Plays; Best Books Ever Listings; Harvard Classics; Browsing: Literature; Browsing: Performing Arts/Film; Browsing: Fiction
32,Herland,"Gilman, Charlotte Perkins, 1860-1935",Utopias -- Fiction; Women -- Fiction; Utopian fiction; Black humor,Best Books Ever Listings; Browsing: Culture/Civilization/Society; Browsing: Gender & Sexuality Studies; Browsing: Literature; Browsing: Fiction
33,The Scarlet Letter,"Hawthorne, Nathaniel, 1804-1864","Adultery -- Fiction; Historical fiction; Revenge -- Fiction; Psychological fiction; Married women -- Fiction; Clergy -- Fiction; Triangles (Interpersonal relations) -- Fiction; Illegitimate children -- Fiction; Women immigrants -- Fiction; Puritans -- Fiction; Boston (Mass.) -- History -- Colonial period, ca. 1600-1775 -- Fiction",Harvard Classics; Movie Books; Browsing: Culture/Civilization/Society; Browsing: History - American; Browsing: Literature; Browsing: Fiction
34,Zen and the Art of the Internet,"Kehoe, Brendan P., 1970-2011",Internet; Computer networks; Information networks; Information retrieval,Browsing: Computers & Technology
35,The Time Machine,"Wells, H. G. (Herbert George), 1866-1946",Science fiction; Time travel -- Fiction; Dystopias -- Fiction,Science Fiction; Movie Books; Browsing: Literature; Browsing: Science-Fiction & Fantasy; Browsing: Fiction
36,The War of the Worlds,"Wells, H. G. (Herbert George), 1866-1946",Science fiction; War stories; Martians -- Fiction; Mars (Planet) -- Fiction; Space warfare -- Fiction; Imaginary wars and battles -- Fiction; Life on other planets -- Fiction,Science Fiction; Movie Books; Browsing: History - Warfare; Browsing: Science-Fiction & Fantasy; Browsing: Fiction
37,The 1990 United States Census [2nd],United States. Bureau of the Census,United States -- Population -- Statistics; United States -- Census; Housing -- United States -- Statistics,Browsing: Encyclopedias/Dictionaries/Reference; Browsing: History - American
38,"The Jargon File, Version 2.9.10, 01 Jul 1992","Raymond, Eric S., 1957- [Editor]; Steele, Guy L., 1954- [Editor]",Electronic data processing -- Terminology -- Humor; Computers -- Humor; Computers -- Slang -- Dictionaries,Browsing: Computers & Technology; Browsing: Encyclopedias/Dictionaries/Reference; Browsing: Humour
39,Hitchhiker's Guide to the Internet,"Krol, Ed, 1951-",Internet; Computer networks,Browsing: Computers & Technology
40,NorthWestNet User Services Internet Resource Guide (NUSIRG),"Kochmer, Jonathan",Internet,Browsing: Computers & Technology
41,The Legend of Sleepy Hollow,"Irving, Washington, 1783-1859",Ghosts -- Fiction; New York (State) -- History -- 1775-1865 -- Fiction,Children's Literature; Harvard Classics; Browsing: Children & Young Adult Reading; Browsing: History - American; Browsing: Literature; Browsing: Fiction
42,The Strange Case of Dr. Jekyll and Mr. Hyde,"Stevenson, Robert Louis, 1850-1894",Science fiction; Horror tales; London (England) -- Fiction; Physicians -- Fiction; Psychological fiction; Self-experimentation in medicine -- Fiction; Multiple personality -- Fiction,Precursors of Science Fiction; Horror; Gothic Fiction; Movie Books; Browsing: Literature; Browsing: Science-Fiction & Fantasy; Browsing: Fiction
43,The Strange Case of Dr. Jekyll and Mr. Hyde,"Stevenson, Robert Louis, 1850-1894",Science fiction; Horror tales; London (England) -- Fiction; Physicians -- Fiction; Psychological fiction; Self-experimentation in medicine -- Fiction; Multiple personality -- Fiction,Precursors of Science Fiction; Horror; Movie Books; Browsing: Psychiatry/Psychology; Browsing: Science-Fiction & Fantasy; Browsing: Fiction
44,The Song of the Lark,"Cather, Willa, 1873-1947",Musical fiction; Young women -- Fiction; Bildungsromans; Chicago (Ill.) -- Fiction; Swedish Americans -- Fiction; Colorado -- Fiction; Opera -- Fiction; Children of clergy -- Fiction; Women singers -- Fiction,Opera; Browsing: Culture/Civilization/Society; Browsing: Literature; Browsing: Fiction
45,Anne of Green Gables,"Montgomery, L. M. (Lucy Maud), 1874-1942","Orphans -- Fiction; Islands -- Fiction; Friendship -- Fiction; Bildungsromans; Girls -- Fiction; Country life -- Prince Edward Island -- Fiction; Prince Edward Island -- History -- 20th century -- Fiction; Canada -- History -- 1867-1914 -- Fiction; Shirley, Anne (Fictitious character) -- Fiction",Canada; Children's Literature; Browsing: Children & Young Adult Reading; Browsing: Culture/Civilization/Society; Browsing: History - General; Browsing: Fiction
46,A Christmas Carol in Prose; Being a Ghost Story of Christmas,"Dickens, Charles, 1812-1870; Leech, John, 1817-1864 [Illustrator]","Christmas stories; London (England) -- Fiction; Poor families -- Fiction; Ghost stories; Misers -- Fiction; Sick children -- Fiction; Scrooge, Ebenezer (Fictitious character) -- Fiction",Children's Literature; Christmas; Browsing: Children & Young Adult Reading; Browsing: Culture/Civilization/Society; Browsing: Fiction
47,Anne of Avonlea,"Montgomery, L. M. (Lucy Maud), 1874-1942","Orphans -- Fiction; Islands -- Fiction; Teachers -- Fiction; Prince Edward Island -- History -- 20th century -- Fiction; Canada -- History -- 1914-1945 -- Fiction; Shirley, Anne (Fictitious character) -- Fiction",Canada; Children's Literature; Browsing: Children & Young Adult Reading; Browsing: Literature; Browsing: Fiction
48,The 1992 CIA World Factbook,United States. Central Intelligence Agency,"World politics -- Handbooks, manuals, etc.; Geography -- Handbooks, manuals, etc.; Political science -- Handbooks, manuals, etc.; Political statistics -- Handbooks, manuals, etc.",CIA World Factbooks; Browsing: Encyclopedias/Dictionaries/Reference; Browsing: Politics; Browsing: Travel & Geography
49,"Surfing the Internet: An Introduction
Version 2.0.2","Polly, Jean Armour",Internet addresses -- Directories; Computer network resources -- Directories; Electronic mail systems -- Directories,Browsing: Computers & Technology
51,Anne of the Island,"Montgomery, L. M. (Lucy Maud), 1874-1942","Orphans -- Fiction; Prince Edward Island -- History -- 20th century -- Fiction; Interpersonal relations -- Fiction; Canada -- History -- 1914-1945 -- Fiction; Self-perception -- Fiction; Universities and colleges -- Fiction; Nova Scotia -- History -- 20th century -- Fiction; Shirley, Anne (Fictitious character) -- Fiction",Canada; Children's Literature; Browsing: Children & Young Adult Reading; Browsing: Literature; Browsing: Fiction
53,"Workshop on Electronic Texts: Proceedings, 9-10 June 1992","Library of Congress; Daly, James, 1948- [Editor]",Text processing (Computer science) -- Congresses; Electronic books; Electronic publishing -- Congresses,Browsing: Computers & Technology; Browsing: Encyclopedias/Dictionaries/Reference
54,The Marvelous Land of Oz,"Baum, L. Frank (Lyman Frank), 1856-1919; Neill, John R. (John Rea), 1877-1943 [Illustrator]",Oz (Imaginary place) -- Juvenile fiction; Fantasy literature; Conduct of life -- Juvenile fiction; Friendship -- Juvenile fiction; Voyages and travels -- Juvenile fiction; Magic -- Juvenile fiction; Practical jokes -- Juvenile fiction; Youth -- Conduct of life -- Juvenile fiction; Queens -- Juvenile fiction; Kings and rulers -- Juvenile fiction; Witches -- Juvenile fiction; Women soldiers -- Juvenile fiction,Children's Literature; Fantasy; Browsing: Children & Young Adult Reading; Browsing: Science-Fiction & Fantasy; Browsing: Fiction
55,The Wonderful Wizard of Oz,"Baum, L. Frank (Lyman Frank), 1856-1919","Oz (Imaginary place) -- Juvenile fiction; Fantasy literature; Courage -- Juvenile fiction; Home -- Juvenile fiction; Good and evil -- Juvenile fiction; Dreams -- Juvenile fiction; Gale, Dorothy (Fictitious character) -- Juvenile fiction; Cowardly Lion (Fictitious character) -- Juvenile fiction; Cyclones -- Juvenile fiction; Scarecrow (Fictitious character from Baum) -- Juvenile fiction; Toto (Fictitious character) -- Juvenile fiction; Witches -- Juvenile fiction; Wizard of Oz (Fictitious character) -- Juvenile fiction; Tin Woodman (Fictitious character) -- Juvenile fiction",Children's Literature; Fantasy; Browsing: Children & Young Adult Reading; Browsing: Science-Fiction & Fantasy; Browsing: Fiction
56,NREN for All: Insurmountable Opportunity,"Polly, Jean Armour",Internet; National Research and Education Network (Computer network),Browsing: Business/Management; Browsing: Computers & Technology
57,Aladdin and the Magic Lamp,Unknown,Fairy tales; Children's stories; Arabs -- Folklore; Folklore -- Arab countries,Browsing: Children & Young Adult Reading; Browsing: Culture/Civilization/Society; Browsing: Literature
58,Paradise Regained,"Milton, John, 1608-1674",English poetry; Epic poetry; Bible. Gospels -- History of Biblical events -- Poetry; Jesus Christ -- Temptation -- Poetry,Browsing: Literature; Browsing: Poetry
59,Discourse on the Method of Rightly Conducting One's Reason and of Seeking Truth in the Sciences,"Descartes, René, 1596-1650; Veitch, John, 1829-1894 [Translator]",Science -- Methodology; Methodology,Harvard Classics; Philosophy; Browsing: Philosophy & Ethics; Browsing: Psychiatry/Psychology; Browsing: Science - General
60,The Scarlet Pimpernel,"Orczy, Emmuska Orczy, Baroness, 1865-1947","Historical fiction; France -- History -- Revolution, 1789-1799 -- Fiction; Adventure stories; British -- France -- Fiction; Nobility -- Fiction; Blakeney, Percy, Sir (Fictitious character) -- Fiction",Adventure; Best Books Ever Listings; Movie Books; Browsing: History - General; Browsing: Literature; Browsing: Fiction
61,The Communist Manifesto,"Marx, Karl, 1818-1883; Engels, Friedrich, 1820-1895",Socialism; Communism,Politics; Philosophy; Banned Books from Anne Haight's list; Browsing: Philosophy & Ethics; Browsing: Politics; Browsing: Sociology
62,A Princess of Mars,"Burroughs, Edgar Rice, 1875-1950","Science fiction; Mars (Planet) -- Fiction; Princesses -- Fiction; Carter, John (Fictitious character) -- Fiction; Dejah Thoris (Fictitious character) -- Fiction",Science Fiction; Best Books Ever Listings; Browsing: Literature; Browsing: Science-Fiction & Fantasy; Browsing: Fiction
63,"The Number ""e""",Unknown,Mathematics; Mathematical constants,Historical Fiction; Browsing: Mathematics; Browsing: Science - General
64,The Gods of Mars,"Burroughs, Edgar Rice, 1875-1950","Science fiction; Mars (Planet) -- Fiction; Life on other planets -- Fiction; Carter, John (Fictitious character) -- Fiction; Dejah Thoris (Fictitious character) -- Fiction",Science Fiction; Browsing: Literature; Browsing: Science-Fiction & Fantasy; Browsing: Fiction
66,The Dawn of Amateur Radio in the U.K. and Greece: A Personal View,"Joly, Norman F.",Radio broadcasting,Browsing: Computers & Technology
67,The Black Experience in America,"Coombs, Norman, 1932-",African Americans -- History; Slavery -- United States -- History,Browsing: History - American; Browsing: History - General
68,The warlord of Mars,"Burroughs, Edgar Rice, 1875-1950","Science fiction; Mars (Planet) -- Fiction; Carter, John (Fictitious character) -- Fiction; Dejah Thoris (Fictitious character) -- Fiction",Science Fiction; Browsing: Literature; Browsing: Science-Fiction & Fantasy; Browsing: Fiction
69,"The 32nd Mersenne Prime
Predicted by Mersenne","Slowinski, David","Numbers, Prime; Number theory",Mathematics; Browsing: Mathematics; Browsing: Science - General
70,What Is Man? and Other Essays,"Twain, Mark, 1835-1910",American essays,Browsing: History - American; Browsing: Literature
71,On the Duty of Civil Disobedience,"Thoreau, Henry David, 1817-1862","Civil disobedience; Government, Resistance to",Browsing: Philosophy & Ethics; Browsing: Politics; Browsing: Sociology
72,"Thuvia, Maid of Mars","Burroughs, Edgar Rice, 1875-1950",Science fiction; Martians -- Fiction; Mars (Planet) -- Fiction,Science Fiction; Browsing: Literature; Browsing: Science-Fiction & Fantasy; Browsing: Fiction
73,The Red Badge of Courage: An Episode of the American Civil War,"Crane, Stephen, 1871-1900","Historical fiction; War stories; United States -- History -- Civil War, 1861-1865 -- Fiction; Virginia -- History -- Civil War, 1861-1865 -- Fiction; Chancellorsville, Battle of, Chancellorsville, Va., 1863 -- Fiction","US Civil War; Historical Fiction; Best Books Ever Listings; Bestsellers, American, 1895-1923; Browsing: History - American; Browsing: History - Warfare; Browsing: Literature; Browsing: Fiction"
74,"The Adventures of Tom Sawyer, Complete","Twain, Mark, 1835-1910","Humorous stories; Bildungsromans; Boys -- Fiction; Male friendship -- Fiction; Adventure stories; Missouri -- Fiction; Sawyer, Tom (Fictitious character) -- Fiction; Child witnesses -- Fiction; Runaway children -- Fiction; Mississippi River Valley -- Fiction",Banned Books from Anne Haight's list; Banned Books List from the American Library Association; Browsing: Children & Young Adult Reading; Browsing: Humour; Browsing: Literature; Browsing: Fiction
75,E-mail 101,"Goodwin, John E.",Electronic mail systems,Browsing: Computers & Technology
76,Adventures of Huckleberry Finn,"Twain, Mark, 1835-1910; Kemble, E. W. (Edward Windsor), 1861-1933 [Illustrator]","Humorous stories; Bildungsromans; Boys -- Fiction; Male friendship -- Fiction; Adventure stories; Missouri -- Fiction; Race relations -- Fiction; Runaway children -- Fiction; Finn, Huckleberry (Fictitious character) -- Fiction; Fugitive slaves -- Fiction; Mississippi River -- Fiction",Best Books Ever Listings; Banned Books from Anne Haight's list; Banned Books List from the American Library Association; Browsing: Culture/Civilization/Society; Browsing: Humour; Browsing: Literature; Browsing: Fiction
77,The House of the Seven Gables,"Hawthorne, Nathaniel, 1804-1864",Historical fiction; Domestic fiction; Paranormal fiction; Haunted houses -- Fiction; Salem (Mass.) -- Fiction,Best Books Ever Listings; Browsing: Culture/Civilization/Society; Browsing: History - American; Browsing: Literature; Browsing: Fiction
78,Tarzan of the Apes,"Burroughs, Edgar Rice, 1875-1950",Tarzan (Fictitious character) -- Fiction; Africa -- Fiction; Fantasy fiction; Adventure stories; British -- Africa -- Fiction; Wild men -- Fiction,Adventure; Movie Books; Browsing: Culture/Civilization/Society; Browsing: Science-Fiction & Fantasy; Browsing: Fiction
79,Terminal Compromise,"Schwartau, Winn, 1952-","Computer security -- Fiction; Didactic fiction; Privacy, Right of -- Fiction; Records -- Access control -- Fiction",Browsing: Computers & Technology; Browsing: Language & Communication; Browsing: Fiction
80,The Online World,"De Presno, Odd, 1944-",Internet,Browsing: Computers & Technology
81,The Return of Tarzan,"Burroughs, Edgar Rice, 1875-1950",Tarzan (Fictitious character) -- Fiction; Fantasy fiction; Adventure stories,Browsing: Literature; Browsing: Science-Fiction & Fantasy; Browsing: Fiction
82,Ivanhoe: A Romance,"Scott, Walter, 1771-1832","Historical fiction; Knights and knighthood -- Fiction; Love stories; Triangles (Interpersonal relations) -- Fiction; Great Britain -- History -- Richard I, 1189-1199 -- Fiction; Jews -- England -- Fiction; Ivanhoe, Wilfred of, Sir (Fictitious character) -- Fiction; Anglo-Saxons -- Fiction; Normans -- Great Britain -- Fiction",Historical Fiction; Best Books Ever Listings; Browsing: Culture/Civilization/Society; Browsing: History - Medieval/The Middle Ages; Browsing: Literature; Browsing: Fiction
83,"From the Earth to the Moon; and, Round the Moon","Verne, Jules, 1828-1905",Science fiction; Space flight to the moon -- Fiction; Moon -- Fiction; Space ships -- Fiction; Manned space flight -- Fiction,Science Fiction; Movie Books; Browsing: Literature; Browsing: Science-Fiction & Fantasy; Browsing: Fiction
84,"Frankenstein; Or, The Modern Prometheus","Shelley, Mary Wollstonecraft, 1797-1851","Science fiction; Horror tales; Gothic fiction; Scientists -- Fiction; Monsters -- Fiction; Frankenstein, Victor (Fictitious character) -- Fiction; Frankenstein's monster (Fictitious character) -- Fiction",Gothic Fiction; Movie Books; Precursors of Science Fiction; Science Fiction by Women; Browsing: Culture/Civilization/Society; Browsing: Gender & Sexuality Studies; Browsing: Literature; Browsing: Science-Fiction & Fantasy; Browsing: Fiction
85,The Beasts of Tarzan,"Burroughs, Edgar Rice, 1875-1950",Tarzan (Fictitious character) -- Fiction; Fantasy fiction; Jungle animals -- Fiction; Adventure stories,Adventure; Movie Books; Browsing: Literature; Browsing: Science-Fiction & Fantasy; Browsing: Fiction
86,A Connecticut Yankee in King Arthur's Court,"Twain, Mark, 1835-1910",Fantasy fiction; Satire; Knights and knighthood -- Fiction; Arthurian romances -- Adaptations; Time travel -- Fiction; Americans -- Great Britain -- Fiction; Kings and rulers -- Fiction; Britons -- Fiction,Precursors of Science Fiction; Arthurian Legends; Browsing: Culture/Civilization/Society; Browsing: Literature; Browsing: Science-Fiction & Fantasy; Browsing: Fiction
87,The 1993 CIA World Factbook,United States. Central Intelligence Agency,"World politics -- Handbooks, manuals, etc.; Geography -- Handbooks, manuals, etc.; Political science -- Handbooks, manuals, etc.; Political statistics -- Handbooks, manuals, etc.",CIA World Factbooks; Browsing: Encyclopedias/Dictionaries/Reference; Browsing: Politics; Browsing: Travel & Geography
88,Price/Cost Indexes from 1875 to 1989; Estimated to 2010,"Hart, Michael, 1947-2011",Cost and standard of living,Browsing: Economics; Browsing: Sociology
89,"North American Free Trade Agreement, 1992 Oct. 7 Tariff Phasing Descriptions",Canada,"Canada. Treaties, etc. 1992 Oct. 7; Tariff -- Law and legislation -- North America; Free trade -- North America; Foreign trade regulation -- North America; Free trade -- United States; Free trade -- Canada; Free trade -- Mexico",Browsing: Economics; Browsing: Law & Criminology; Browsing: Politics
90,The Son of Tarzan,"Burroughs, Edgar Rice, 1875-1950",Tarzan (Fictitious character) -- Fiction; Fantasy fiction; Adventure stories,Adventure; Movie Books; Contemporary Reviews; Browsing: Science-Fiction & Fantasy; Browsing: Fiction
91,Tom Sawyer Abroad,"Twain, Mark, 1835-1910","Adventure stories; Sawyer, Tom (Fictitious character) -- Fiction; Balloon ascensions -- Fiction; Americans -- Foreign countries -- Fiction",Browsing: Literature; Browsing: Travel & Geography; Browsing: Fiction
92,Tarzan and the Jewels of Opar,"Burroughs, Edgar Rice, 1875-1950",Tarzan (Fictitious character) -- Fiction; Fantasy fiction; Adventure stories,Adventure; Movie Books; Browsing: Science-Fiction & Fantasy; Browsing: Fiction
93,"Tom Sawyer, Detective","Twain, Mark, 1835-1910","Sawyer, Tom (Fictitious character) -- Fiction; Mystery fiction",Browsing: Crime/Mystery; Browsing: Literature; Browsing: Fiction
94,Alexander's Bridge,"Cather, Willa, 1873-1947",Civil engineers -- Fiction; London (England) -- Fiction; Psychological fiction; Married people -- Fiction; Boston (Mass.) -- Fiction; Mistresses -- Fiction; Bridges -- Design and construction -- Fiction,Browsing: Architecture; Browsing: Culture/Civilization/Society; Browsing: Literature; Browsing: Psychiatry/Psychology; Browsing: Fiction
95,The prisoner of Zenda,"Hope, Anthony, 1863-1933",Love stories; Impostors and imposture -- Fiction; Adventure stories; British -- Foreign countries -- Fiction; Kings and rulers -- Fiction; Political kidnapping -- Fiction,"Adventure; Best Books Ever Listings; Movie Books; Bestsellers, American, 1895-1923; Browsing: History - British; Browsing: Literature; Browsing: Fiction"
96,The Monster Men,"Burroughs, Edgar Rice, 1875-1950",Science fiction; Fantasy fiction,Science Fiction; Browsing: Literature; Browsing: Science-Fiction & Fantasy; Browsing: Fiction
97,Flatland: A Romance of Many Dimensions,"Abbott, Edwin Abbott, 1838-1926",Fourth dimension,Mathematics; Science Fiction; Browsing: Mathematics; Browsing: Science - General; Browsing: Science-Fiction & Fantasy
98,A Tale of Two Cities,"Dickens, Charles, 1812-1870","Historical fiction; France -- History -- Revolution, 1789-1799 -- Fiction; London (England) -- History -- 18th century -- Fiction; War stories; Executions and executioners -- Fiction; French -- England -- London -- Fiction; Lookalikes -- Fiction; British -- France -- Paris -- Fiction; Paris (France) -- History -- 1789-1799 -- Fiction",Historical Fiction; Browsing: History - British; Browsing: History - European; Browsing: History - General; Browsing: Literature; Browsing: Fiction
99,Collected Articles of Frederick Douglass,"Douglass, Frederick, 1818-1895","Douglass, Frederick, 1818-1895; Slavery; African American abolitionists; Essays; Reconstruction (U.S. history, 1865-1877)",Slavery; African American Writers; Browsing: Biographies; Browsing: Culture/Civilization/Society; Browsing: History - American; Browsing: Literature; Browsing: Politics
100,The Complete Works of William Shakespeare,"Shakespeare, William, 1564-1616","English drama -- Early modern and Elizabethan, 1500-1600",Plays; Browsing: Literature; Browsing: Fiction
101,The Hacker Crackdown: Law and Disorder on the Electronic Frontier,"Sterling, Bruce, 1954-",Computer crimes -- United States; Telephone -- Corrupt practices -- United States; Computer programming -- Corrupt practices -- United States,Browsing: Computers & Technology; Browsing: Crime/Mystery; Browsing: Politics
102,The Tragedy of Pudd'nhead Wilson,"Twain, Mark, 1835-1910",Impostors and imposture -- Fiction; Missouri -- Fiction; Trials (Murder) -- Fiction; Legal stories; Race relations -- Fiction; Infants switched at birth -- Fiction; Passing (Identity) -- Fiction,Browsing: Culture/Civilization/Society; Browsing: Literature; Browsing: Fiction
