Text#,Title,Authors,Subjects,Bookshelves
66096,"Travels through the states of North America, and the provinces of Upper and Lower Canada, during the years 1795, 1796, and 1797 [Vol. 1 of 2]","Weld, Isaac, 1774-1856",United States -- Description and travel -- Early works to 1800; Canada -- Description and travel -- Early works to 1800,Browsing: History - American; Browsing: Travel & Geography
66097,"Chambers's Journal of Popular Literature, Science, and Art, Fifth Series, No. 33, Vol. I, August 16, 1884",Various,Periodicals,Browsing: Encyclopedias/Dictionaries/Reference; Browsing: Other
66098,Hampshire Water-Colours,"Ball, Wilfrid, 1853-1917 [Illustrator]",Watercolor painting -- England; Hampshire (England) -- Pictorial works,Browsing: Art & Photography; Browsing: History - European; Browsing: Travel & Geography
66099,"The Girl's Own Paper, Vol. XX, No. 993, January 7, 1899",Various,Children's literature -- Periodicals,Browsing: Children & Young Adult Reading; Browsing: Literature
66101,Ploughshare and Pruning-Hook: Ten Lectures on Social Subjects,"Housman, Laurence, 1865-1959",Social sciences; Social ethics,Browsing: Culture/Civilization/Society; Browsing: Philosophy & Ethics
66102,"The Girl's Own Paper, Vol. XX, No. 1018, July 1, 1899",Various,Children's literature -- Periodicals,Browsing: Children & Young Adult Reading; Browsing: Encyclopedias/Dictionaries/Reference
66103,Lambkin's Remains,"Belloc, Hilaire, 1870-1953","Satire, English; University of Oxford -- Fiction",Browsing: Humour; Browsing: Literature; Browsing: Fiction
66106,Tales of the Wild and the Wonderful [1867],"Dods, Mary Diana, 1791?-1830?; Apel, August, 1771-1816 [Contributor]; Croker, Thomas Crofton, 1798-1854 [Contributor]; Musäus, Johann Karl August, 1735-1787 [Contributor]; Borrow, George, 1803-1881 [Dubious author]; Utterson, Sarah Elizabeth, 1781-1851 [Translator]",Fiction; Adventure stories,Browsing: Literature; Browsing: Fiction
66108,A Gloucestershire Lad at Home and Abroad,"Harvey, F. W. (Frederick William), 1888-1957","World War, 1914-1918 -- Poetry; Gloucestershire (England) -- Poetry",Browsing: History - Warfare; Browsing: Literature; Browsing: Poetry
66109,Young Engineer's Guide,"Rohan, J. V.",Steam engineering,Browsing: Computers & Technology; Browsing: Engineering & Construction
66110,A Son of Ishmael: A Novel,"Meade, L. T., 1854-1914; Shute, A. B. (Augustus Burnham), 1851-1906 [Illustrator]",Detective and mystery stories; Murder -- Investigation -- Fiction; Burglars -- Fiction; Husband and wife -- Fiction,Browsing: Crime/Mystery; Browsing: Literature; Browsing: Fiction
66111,Afghans,Spool Cotton Co.,Knitting -- Patterns; Crocheting -- Patterns; Afghans (Coverlets),Browsing: Other
66112,Purpose in Prayer,"Bounds, Edward M. (Edward McKendree), 1835-1913",Prayer -- Christianity,Browsing: Philosophy & Ethics; Browsing: Religion/Spirituality/Paranormal
66113,Wildwood Ways,"Packard, Winthrop, 1862-1943",Natural history -- Outdoor books,Browsing: Nature/Gardening/Animals; Browsing: Science - General; Browsing: Travel & Geography
66114,Keeban,"Balmer, Edwin, 1883-1959",Detective and mystery stories; Chicago (Ill.) -- Fiction; Adventure stories; Brothers -- Fiction,Browsing: Crime/Mystery; Browsing: Literature; Browsing: Fiction
66115,His Excellency's English Governess,"Grier, Sydney C., 1868-1933",Governesses -- Fiction; Baghdad (Iraq) -- Fiction; British -- Iraq -- Fiction,Browsing: Culture/Civilization/Society; Browsing: Literature; Browsing: Fiction
66116,Modern Greek Folklore and Ancient Greek Religion: A Study in Survivals,"Lawson, J. C. (John Cuthbert), 1874-1935","Mythology, Greek; Greece -- Religion; Folklore -- Greece",Browsing: Culture/Civilization/Society; Browsing: History - General; Browsing: Religion/Spirituality/Paranormal
66119,Little Miss Dorothy: The Story of the Wonderful Adventures of Two Little People,"James, Martha, 1868-; Davis, J. Watson, 1870-1959 [Illustrator]",Fantasy fiction; Fairies -- Juvenile fiction; Cousins -- Juvenile fiction; Children -- Juvenile fiction,Browsing: Children & Young Adult Reading; Browsing: Fiction
66120,"The Scottish Cavalier: An Historical Romance, Volume 1 (of 3)","Grant, James, 1822-1887",Scotland -- History -- 1649-1660 -- Fiction,Browsing: History - General; Browsing: Literature; Browsing: Fiction
66121,"The Scottish Cavalier: An Historical Romance, Volume 2 (of 3)","Grant, James, 1822-1887",Scotland -- History -- 1649-1660 -- Fiction,Browsing: History - British; Browsing: Literature; Browsing: Fiction
66122,"The Scottish Cavalier: An Historical Romance, Volume 3 (of 3)","Grant, James, 1822-1887",Scotland -- History -- 1649-1660 -- Fiction,Browsing: History - British; Browsing: Literature; Browsing: Fiction
66123,"Pictures of the Socialistic Future
(freely adapted from Bebel)","Richter, Eugen, 1838-1906; Mackay, Thomas, 1849-1912 [Author of introduction, etc.]; Wright, Henry [Translator]",Satire; Germany -- Fiction; Dystopias -- Fiction; Socialism -- Fiction,Browsing: Culture/Civilization/Society; Browsing: Literature; Browsing: Fiction
66124,The Starlight Wonder Book,"Beston, Henry, 1888-1968; Day, Maurice, 1892-1983 [Illustrator]",Fairy tales; Children's stories,Browsing: Children & Young Adult Reading; Browsing: Literature
66125,"""Impromptu""; or, How to Think on Your Feet","Kleiser, Grenville, 1868-1953; Thompson, Isaac Grant, 1840-1879 [Contributor]",Oratory,Browsing: Language & Communication; Browsing: Teaching & Education
66126,Travels in Nova Scotia in the Year 1913,"Hine, C. G. (Charles Gilbert), 1859-1931",Nova Scotia -- Description and travel,Browsing: History - American; Browsing: Travel & Geography
66127,"Chambers's Journal of Popular Literature, Science, and Art, Fifth Series, No. 34, Vol. I, August 23, 1884",Various,Periodicals,Browsing: Culture/Civilization/Society; Browsing: Encyclopedias/Dictionaries/Reference; Browsing: Science - General
66128,"The Girl's Own Paper, Vol. XX, No. 1027, September 2, 1899",Various,Children's literature -- Periodicals,Browsing: Children & Young Adult Reading; Browsing: Encyclopedias/Dictionaries/Reference
66129,"The collected works of William Hazlitt, Vol. 06 (of 12)","Hazlitt, William, 1778-1830; Glover, Arnold, 1865-1905 [Editor]; Waller, A. R. (Alfred Rayney), 1867-1922 [Editor]",English essays -- 19th century,Browsing: Culture/Civilization/Society; Browsing: Literature
66130,"History of the Water Supply of the World
arranged in a comprehensive form from eminent authorities, containing a description of the various methods of water supply, pollution and purification of waters, and sanitary effects, with analyses of potable waters, also geology and water strata of Hamilton county, Ohio, statistics of the Ohio river, proposed water supply of Cincinnati.","Bell, Thomas J. (Thomas Jefferson), 1852-",Water-supply -- History; Water-supply -- Ohio -- Hamilton County,Browsing: Environmental Issues; Browsing: History - General; Browsing: Science - General
66131,The Bride of Huitzil—An Aztec Legend,"Allen, Hervey, 1889-1949; Wall, Bernhardt, 1872-1956 [Illustrator]",Aztec mythology -- Poetry,Browsing: Culture/Civilization/Society; Browsing: Literature; Browsing: Poetry
66132,Du Bose Heyward: A Critical and Biographical Sketch,"Allen, Hervey, 1889-1949","Authors, American -- 20th century -- Biography; Charleston (S.C.) -- Biography; Heyward, DuBose, 1885-1940",Browsing: Biographies; Browsing: Culture/Civilization/Society; Browsing: Literature
66133,Wampum and Old Gold,"Allen, Hervey, 1889-1949",American poetry -- 20th century,Browsing: Literature; Browsing: Poetry
66134,"Jabberwock, Beware!","Sternbach, Richard A.",Science fiction; Short stories; Human-alien encounters -- Fiction,Browsing: Literature; Browsing: Science-Fiction & Fantasy; Browsing: Fiction
66135,"Three Visitors to Early Plymouth
Letters about the Pilgrim settlement in New England during its first seven years","James, Sydney V., 1929-1993 [Editor]; Altham, Emmanuel, 1600-1636?; Pory, John, 1572-1636; Rasieres, Isaack de, 1595-; Morison, Samuel Eliot, 1887-1976 [Author of introduction, etc.]","Massachusetts -- History -- New Plymouth, 1620-1691",Browsing: History - American; Browsing: History - General
66136,Home Canning of Fruits and Vegetables,United States. Agricultural Research Service. Human Nutrition Research Division,Canning and preserving,Browsing: Computers & Technology; Browsing: Cooking & Drinking
66137,The Lost Ego,"Phillips, Rog, 1909-1965",Science fiction; Identity -- Fiction,Browsing: Literature; Browsing: Science-Fiction & Fantasy; Browsing: Fiction
66138,Guaranteed—Forever!,"Robinson, Frank M., 1926-2014; Terry, W. E., 1921-1992 [Illustrator]",Science fiction; Short stories; Time travel -- Fiction; Chicago (Ill.) -- Fiction,Browsing: Literature; Browsing: Science-Fiction & Fantasy; Browsing: Fiction
66139,The Fugitives,"Morehart, Malcolm B.",Science fiction; Short stories,Browsing: Literature; Browsing: Science-Fiction & Fantasy; Browsing: Fiction
66140,Test Problem,"Ramm, Alan J.",Science fiction; Short stories; Creation -- Fiction,Browsing: Literature; Browsing: Science-Fiction & Fantasy; Browsing: Fiction
66141,"Chambers's Journal of Popular Literature, Science, and Art, Fifth Series, No. 35, Vol. I, August 30, 1884",Various,Periodicals,Browsing: Encyclopedias/Dictionaries/Reference; Browsing: Other
66142,Preferred Position,"Dryfoos, Dave, 1915-2003",Science fiction; Short stories; Leisure -- Fiction; Spouses -- Fiction; Work -- Fiction,Browsing: Literature; Browsing: Science-Fiction & Fantasy; Browsing: Fiction
