Topics,Subjects_Count
"World War, 1914-1918 -- African Americans",2
Russia -- History -- 1801-1917,2
"Paris (France) -- History -- Siege, 1870-1871 -- Personal narratives",2
Bahai Faith -- Austria,2
Baseball -- Fiction,2
College sports -- Fiction,2
Baseball players -- Fiction,2
Bahai Faith -- New Zealand,2
"Science, Medieval",2
Indian embroidery -- North America -- Juvenile fiction,2
Brest-Litovsk Peace Conference (1917-1918),2
"Great Britain -- History -- Elizabeth, 1558-1603 -- Biography",2
Alps,2
Canada -- Intellectual life,2
Pampas (Argentina) -- Juvenile fiction,2
English language -- Alphabet -- Juvenile literature,2
"Thirty Years' War, 1618-1648 -- Drama",2
Latin America -- Biography,2
Spain -- Biography,2
Judgment Day -- Poetry,2
"Vienna (Austria) -- History -- Siege, 1683",2
Holy wells,2
Botanists -- United States -- Correspondence,2
Nova Scotia -- History,2
Criticism -- Great Britain,2
"Humboldt, Alexander von, 1769-1859 -- Travel -- South America",2
"Peninsular War, 1807-1814 -- Participation, British",2
"Great Britain -- History, Military -- 1789-1820",2
"North Carolina -- History -- Civil War, 1861-1865",2
Blockade,2
Theater -- Great Britain -- Fiction,2
Monastic and religious life -- Fiction,2
Sacraments -- Catholic Church,2
Sacramentals,2
"Hamilton, Ian, Sir, 1853-1947 -- Diaries",2
Dinosaurs,2
Aristophanes,2
French language -- Study and teaching,2
Babysitters -- Juvenile fiction,2
Olive,2
"Pontiac, Ottawa Chief, -1769 -- Juvenile fiction",2
Christian saints -- Quotations,2
Netherlands -- History -- 19th century,2
"United States. Army. Rhode Island Infantry Regiment, 12th (1862-1863)",2
Idaho -- Juvenile fiction,2
"Mary, Blessed Virgin, Saint -- Prayers and devotions",2
Christian saints -- Prayers and devotions,2
Catholic Church -- Customs and practices,2
Scandinavia -- Antiquities,2
Folklore -- Scotland -- Highlands,2
Architecture -- India,2
Earthwork,2
"Mythology, Classical -- Drama",2
"Pontiac's Conspiracy, 1763-1765 -- Juvenile fiction",2
Family life -- Southern States -- Juvenile fiction,2
Cooking (Eggs),2
Acadians -- Fiction,2
Panjabis (South Asian people) -- Folklore,2
"Great Britain. Army. Lancers, 17th -- History",2
Rifles,2
Grenades,2
Physicians -- Great Britain -- Biography,2
"Science fiction, English -- Translations into Finnish",2
"Goodbird, Edward, 1869-",2
Music -- Italy,2
Gods -- Fiction,2
"South Carolina -- History -- Revolution, 1775-1783 -- Fiction",2
Vesuvius (Italy),2
Women -- China -- Biography,2
Ojibwa Indians -- Religion,2
"Conrad, Joseph, 1857-1924 -- Criticism and interpretation",2
Crete (Greece) -- Antiquities,2
"Gainsborough, Thomas, 1727-1788",2
"Bellini, Giovanni, -1516",2
Church of England -- History -- 19th century -- Fiction,2
Young women -- Education -- Fiction,2
"Fishes, Fossil",2
Fryslân (Netherlands) -- History,2
"Gluck, Christoph Willibald, Ritter von, 1714-1787",2
"Weber, Carl Maria von, 1786-1826",2
"Burton, Isabel, Lady, 1831-1896",2
Wives -- Great Britain -- Biography,2
Hampshire (England) -- History,2
Martinique -- Description and travel,2
"Hearn, Lafcadio, 1850-1904 -- Travel -- Martinique",2
Women philosophers -- Fiction,2
Femmes fatales -- Fiction,2
"Correggio, 1489?-1534",2
Women -- California,2
Bohemianism,2
"Hearn, Lafcadio, 1850-1904 -- Correspondence",2
New Zealand -- Biography,2
New Zealand -- Social life and customs,2
Rope,2
Tourists -- Juvenile fiction,2
"Great Britain -- History -- Alfred, 871-899",2
Art thieves -- Juvenile fiction,2
"Implants, Artificial -- Fiction",2
World Wide Web -- Fiction,2
Menton (France),2
Surface tension,2
Estonian literature -- History and criticism,2
Sagas -- Translations into French,2
York Minster,2
Military miniatures -- Juvenile fiction,2
"Hypatia, -415 -- Fiction",2
Bible. Exodus -- Commentaries,2
Monkeys,2
Sound production by animals,2
Truthfulness and falsehood -- Fiction,2
Birds -- California,2
Paris (France) -- Social life and customs -- 17th century -- Fiction,2
Hidatsa Indians -- Biography,2
Hidatsa Indians -- Social life and customs,2
"Greece -- History -- Persian Wars, 500-449 B.C. -- Fiction",2
Pumping machinery,2
Hydraulic machinery,2
"France -- History -- July Revolution, 1830 -- Fiction",2
Paris (France) -- Drama,2
"Corot, Jean-Baptiste-Camille, 1796-1875",2
Tales -- Australia,2
Conversion -- Catholic Church -- Fiction,2
Railroads -- Equipment and supplies,2
"Prose poems, French",2
Philosophy -- Periodicals,2
Program music,2
Artists -- Poetry,2
Habit,2
"Rinehart, Mary Roberts, 1876-1958 -- Travel -- Montana -- Glacier National Park",2
Manures,2
Mentally ill -- Commitment and detention,2
Mental illness -- Personal narratives,2
Yucatán (Mexico : State) -- History,2
Camps -- Fiction,2
Teenie Weenies (Fictitious characters) -- Juvenile fiction,2
North Pole -- Fiction,2
Domestic relations,2
Prisons -- New York (State),2
Argentina -- History -- 1817-1860,2
"Moralities, English",2
Glacier National Park (Mont.) -- Description and travel,2
Osage Indians -- Folklore,2
Osage language -- Texts,2
Drainage,2
Meteorology -- Juvenile literature,2
Murder -- Massachusetts -- Boston,2
"Hernández, José, 1834-1886. Martín Fierro",2
Readers -- Citizenship,2
Treasure troves,2
England -- Description and travel -- Juvenile literature,2
"World War, 1914-1918 -- Netherlands",2
Dams -- Design and construction -- Fiction,2
Military training camps -- United States,2
Owls,2
"Shaw, Bernard, 1856-1950 -- Criticism and interpretation",2
Churches -- England,2
Mars (Planet) -- Juvenile fiction,2
Musical notation,2
Dogs -- Biography,2
"Morgan, Lewis Henry, 1818-1881. Ancient society",2
Commedia dell'arte,2
Latin language -- Synonyms and antonyms,2
"Gautier, Théophile, 1811-1872 -- Travel -- Spain",2
Creole dialects,2
Carpets,2
Hazardous occupations,2
"Coke, Thomas William, Earl of Leicester, 1752-1842 -- Poetry",2
United States -- Politics and government -- 1865-1900,2
Gossip -- Fiction,2
San Francisco (Calif.) -- History -- Poetry,2
Donner Party,2
"Agassiz, Louis, 1807-1873",2
North Carolina -- History,2
"Gozzi, Carlo, 1720-1806",2
"Longhi, Pietro, 1702-1785",2
"Authors, Italian -- Biography",2
Country life -- New Zealand -- History,2
"Louisbourg (N.S.) -- History -- Siege, 1745",2
"Crusades -- Fourth, 1202-1204",2
Nature -- Effect of human beings on,2
"Alexander VI, Pope, 1431-1503 -- Drama",2
Paint mixing,2
"Pringle, Elizabeth W. Allston (Elizabeth Waties Allston), 1845-1921",2
Charleston (S.C.) -- Biography,2
"Theology, Doctrinal -- History",2
"Russia -- History -- Alexander III, 1881-1894",2
Homing pigeons,2
"Fourier, Charles, 1772-1837",2
"James I, King of England, 1566-1625 -- Fiction",2
Commercial crimes,2
Money laundering,2
Organ music,2
"Geometry, Plane",2
Cameras -- Catalogs,2
Witness bearing (Christianity),2
Clothing and dress -- Great Britain,2
Geese,2
Journalism -- Style manuals,2
Generals -- United States -- Biography -- Juvenile literature,2
Tree houses -- Juvenile fiction,2
W. Kent and Co. -- Catalogs,2
Canada -- Social life and customs,2
"Dreyfus, Alfred, 1859-1935 -- Trials, litigation, etc.",2
African Americans -- Southern States -- Fiction,2
"Latin Empire, 1204-1261",2
"Borgia, Lucrezia, 1480-1519 -- Drama",2
Property -- History,2
Sailing ships -- History,2
Iraq -- History -- To 634 -- Fiction,2
Indians of North America -- Nebraska,2
Finnish poetry (Swedish),2
Babylon (Extinct city) -- Fiction,2
Romans -- England -- London,2
"Greece -- History -- Persian Wars, 500-449 B.C.",2
Art -- Europe,2
Booksellers and bookselling -- United States,2
"Napoleon I, Emperor of the French, 1769-1821 -- Correspondence",2
Welsh language -- Dictionaries -- English,2
"MacGill, Patrick, 1890-1963",2
"World War, 1914-1918 -- Personal narratives, Irish",2
"Newman, John Henry, Saint, 1801-1890",2
"Herbart, Johann Friedrich, 1776-1841",2
"Shakespeare, William, 1564-1616 -- Knowledge -- Music",2
Indians of North America -- Colorado,2
Constitutional amendments -- United States,2
Hague (Netherlands) -- Fiction,2
Shetland pony -- Juvenile fiction,2
"Germany -- History -- Revolution, 1848-1849",2
Poisonous snakes -- Venom -- Physiological effect,2
"United States. Army. Massachusetts Infantry Regiment, 1st (1861-1864)",2
"Zulu War, 1879 -- Juvenile fiction",2
Ndebele (African people) -- Fiction,2
Sports -- Periodicals,2
Cotton weaving,2
"Kuprin, A. I. (Aleksandr Ivanovich), 1870-1938 -- Translations into English",2
Alexandria (Egypt) -- History,2
Riots -- Pennsylvania -- Christiana,2
Footwear -- History,2
University of Cambridge -- Fiction,2
Children's stories -- Bibliography,2
Aeneas (Legendary character),2
Nervous system -- Hygiene,2
"Maximilian, Emperor of Mexico, 1832-1867",2
French literature -- To 1500 -- Translations into English,2
Poor men -- France -- Fiction,2
Tutors and tutoring -- Fiction,2
Cromer (England) -- Description and travel,2
Recreation -- Periodicals,2
Soldiers -- Conduct of life,2
Bushrangers,2
Forests and forestry -- Juvenile fiction,2
"Epic poetry, Italian -- Adaptations",2
"Pryor, Roger A. (Roger Atkinson), 1828-1919",2
Ulster (Northern Ireland and Ireland) -- History,2
Alienation (Social psychology) -- Drama,2
Agents provocateurs -- Fiction,2
Singers -- United States -- Biography,2
Millinery,2
Tableaux,2
Family recreation,2
Antarctica -- Juvenile fiction,2
Children of military personnel -- Juvenile fiction,2
"Caesar, Julius -- Military leadership",2
"Russo-Japanese War, 1904-1905 -- Naval operations",2
South Africa -- History -- Fiction,2
Wagers -- Fiction,2
Women -- Recreation,2
"Argentina -- History -- War of Independence, 1810-1817",2
Cuneiform inscriptions,2
"South Africa -- History -- Frontier Wars, 1811-1878 -- Fiction",2
"Wilde, Oscar, 1854-1900 -- Criticism and interpretation",2
"Farrar, Geraldine, 1882-1967",2
Geriatrics,2
Furniture making,2
African Americans -- History -- To 1863 -- Juvenile fiction,2
Music -- 18th century -- History and criticism,2
"Genlis, Stéphanie Félicité, comtesse de, 1746-1830",2
British -- Japan -- Drama,2
Tropical medicine,2
"Porcelain, English",2
Fraud -- Fiction,2
Southern States,2
Philosophical anthropology,2
Welsh literature -- Translations into English,2
Welsh literature -- 18th century,2
New York (State) -- History -- 19th century -- Juvenile fiction,2
Short stories -- Translations into English,2
Immigrants -- Australia -- Biography,2
Dadaist literature,2
Spain -- Antiquities,2
Blackboard drawing,2
"Sociology, Rural",2
Egypt -- Description and travel -- Juvenile literature,2
Sewing machines -- History,2
"Washington (D.C.) -- History -- Capture by the British, 1814 -- Juvenile fiction",2
"Boutwell, George S. (George Sewall), 1818-1905",2
Folklore -- Sweden,2
Thames Valley (England),2
Stair building,2
African Americans -- Illinois -- Chicago,2
Lumber trade -- Pacific Coast (U.S.) -- Fiction,2
Shipping companies (Marine transportation) -- Fiction,2
Maryland -- Juvenile fiction,2
German prose literature -- 20th century,2
Communists -- United States -- Fiction,2
Industrial Workers of the World -- Fiction,2
Hawaii Volcanoes National Park (Hawaii),2
"China -- History -- Revolution, 1911-1912",2
"Thoreau, Henry David, 1817-1862 -- Diaries",2
"Authors, American -- 19th century -- Diaries",2
"Alcoforado, Mariana, 1640-1723 -- Fiction",2
Buddhist legends,2
Great Britain. Stamp Act (1765),2
Hyla,2
Europe -- History -- 1648-1715,2
Insects -- Fiction,2
Child welfare -- New York (State) -- New York,2
"Richmond (Va.) -- History -- Siege, 1864-1865",2
"Readers -- World War, 1914-1918",2
Pueblo architecture,2
Art -- Technique,2
Warships -- Great Britain -- Juvenile fiction,2
Home schooling,2
Cotton spinning,2
Cotton machinery,2
Arapaho Indians -- Fiction,2
Dating (Social customs) -- Juvenile fiction,2
"Cox, James M. (James Middleton), 1870-1957",2
Finland -- History -- Autonomy and independence movements,2
"Eugénie, Empress, consort of Napoleon III, Emperor of the French, 1826-1920",2
"Cooking, Indonesian",2
Painting -- Early works to 1800,2
Practical reason,2
"Epic poetry, Greek -- Translations into Spanish",2
Hoisting machinery,2
Slave traders -- Juvenile fiction,2
Science -- History -- Juvenile literature,2
"Chancellorsville, Battle of, Chancellorsville, Va., 1863",2
Vendée (France) -- Fiction,2
Horses -- Breeding,2
"Great Britain -- History -- Medieval period, 1066-1485 -- Juvenile fiction",2
Guilds -- Juvenile fiction,2
Interpersonal attraction -- Juvenile fiction,2
"Babbage, Charles, 1791-1871",2
Russians -- Italy -- Fiction,2
English essays -- Translations into Finnish,2
Schools -- Drama,2
French fiction -- Translations into Portuguese,2
"Epistolary poetry, Latin -- Translations into English",2
"Verse satire, Latin -- Translations into English",2
Mouth -- Wounds and injuries -- Fiction,2
Traveling theater -- Fiction,2
Hernia,2
Arabian Peninsula -- History,2
Soldiers -- Biography,2
Arabic literature -- History and criticism,2
Meteorological instruments,2
Soldiers -- Mental health -- Drama,2
"National characteristics, Prussian -- Fiction",2
Prussia (Germany) -- Social life and customs -- 19th century -- Fiction,2
"Georgia -- History -- Civil War, 1861-1865 -- Personal narratives",2
"Aeronautics, Commercial",2
"Virginia -- History -- Revolution, 1775-1783",2
"Chelsea (London, England) -- History -- 19th century",2
"Zulu Rebellion, 1906 -- Fiction",2
Louisiana -- Social life and customs,2
Zulu (African people) -- Juvenile fiction,2
Slavery -- Tennessee,2
Agriculture -- Japan,2
Finance -- United States,2
"Asia, Central -- History",2
Amazon River Valley -- Discovery and exploration -- American,2
Papuans,2
Orkney (Scotland) -- History,2
Jesus Christ -- Resurrection,2
Science -- Methodology -- Early works to 1800,2
Norwegian fiction -- Translations into Dutch,2
Jews -- History -- 70-1789 -- Fiction,2
Messianism -- Fiction,2
"Gods, Roman -- Fiction",2
University of Oxford -- Anecdotes,2
Judaism -- Relations -- Islam -- Fiction,2
Motion,2
French drama (Comedy) -- 18th century,2
German literature -- 20th century -- History and criticism,2
Pork,2
"Printing -- United States -- Handbooks, manuals, etc.",2
Tales -- Burma,2
Americans -- Canada -- Juvenile fiction,2
Women -- Greece -- History,2
Customary law -- France,2
Customary law -- Great Britain,2
Street children -- Fiction,2
"Short stories, Scandinavian -- Translations into English",2
"Roe, Edward Payson, 1838-1888",2
Murderers -- Drama,2
Monasticism and religious orders -- England,2
Dogsledding -- Alaska -- Fiction,2
Toleration,2
Japan -- Social life and customs -- 1868-1912,2
New England -- History -- 19th century -- Juvenile fiction,2
Neighborhoods -- Juvenile fiction,2
Armenia -- Fiction,2
Prostitutes -- France -- Fiction,2
Jews -- History -- 70-,2
Foster home care -- Juvenile fiction,2
Canada -- History -- 20th century -- Juvenile fiction,2
Shoe shiners -- Fiction,2
Italy -- History -- 476-774,2
Legal ethics,2
Straw industries,2
Angels -- Juvenile fiction,2
Celtic literature -- History and criticism,2
"Children's stories, Danish -- Translations into Finnish",2
Alice (Fictitious character from Carroll) -- Fiction,2
Great Britain -- Politics and government -- Humor,2
"Byng, John, 1704-1757",2
Admirals -- Great Britain -- Biography -- Early works to 1800,2
United States. Navy -- Biography,2
Wells Cathedral,2
"Ali Pasa, Tepedelenli, 1744?-1822 -- Fiction",2
"Turkey -- History -- Mahmud II, 1808-1839 -- Fiction",2
"Georgia -- History -- Civil War, 1861-1865",2
"Notting Hill (London, England) -- Fiction",2
Robins,2
Kent (England) -- Fiction,2
Islam -- Relations -- Judaism -- Fiction,2
Portugal -- Politics and government -- 1861-1889,2
"William III, King of England, 1650-1702 -- Fiction",2
France. Ministère des P.T.T. -- History,2
Measles,2
Politicians -- United States -- Fiction,2
"Gorham, George Cornelius -- Trials, litigation, etc.",2
"Phillpotts, Henry, 1778-1869 -- Trials, litigation, etc.",2
Baptism -- Law and legislation -- England -- History -- 19th century,2
Baptism -- Church of England -- History of doctrines -- 19th century,2
Anesthesia,2
"Great Exhibition (1851 : London, England)",2
Geysers -- Juvenile fiction,2
"Criminal justice, Administration of -- United States",2
Upper class -- England -- Juvenile fiction,2
Zuni mythology,2
Young women -- England -- Juvenile fiction,2
"Hannibal, 247 B.C.-182 B.C. -- Fiction",2
Supreme Court justices -- Fiction,2
"Northwest, Old -- History -- Juvenile fiction",2
"Ludendorff, Erich, 1865-1937",2
Gold -- Fiction,2
Migrations of nations -- Fiction,2
Salzburg (Austria : Land) -- History -- Fiction,2
Utah -- Biography,2
Oral tradition -- England,2
United States -- Politics and government -- 1845-1849,2
Legends -- Wales,2
Kerguelen Islands -- Fiction,2
Horsemen and horsewomen -- Juvenile fiction,2
Atomic bomb -- Testing,2
Fire prevention,2
"Shiloh, Battle of, Tenn., 1862 -- Juvenile fiction",2
"Operation Crossroads, Marshall Islands, 1946",2
Politicians -- Great Britain -- Biography,2
Indian captivities -- West (U.S.),2
"Children's stories, Greek (Modern)",2
Fairy tales -- Czechoslovakia,2
East Indies -- Description and travel -- Juvenile literature,2
Mural painting and decoration,2
Topographical surveying,2
North Sea,2
Plant anatomy,2
Botany -- Pre-Linnean works,2
Finns,2
Nuclear weapons -- Marshall Islands -- Bikini Atoll -- Testing,2
Ancestor worship -- Oceania,2
Funeral rites and ceremonies -- Oceania,2
Cuchulain (Legendary character) -- Fiction,2
Country life -- Scotland -- Fiction,2
Sentimentalism -- Fiction,2
"Etiquette, Medieval",2
"Poland -- History -- Partition period, 1763-1796 -- Fiction",2
"Michigan, Lake",2
Titanic (Steamship) -- Poetry,2
Women college graduates -- Juvenile fiction,2
Swastikas,2
Landlords -- Fiction,2
Archaeology -- Periodicals,2
Social problems -- United States,2
Spelling reform -- Early works to 1800,2
Furnaces,2
Catholic Church -- Clergy,2
Agriculture -- Economic aspects,2
Snakes -- Mexico,2
Forests and forestry -- Periodicals,2
Pregnancy -- Fiction,2
Shipwrecks -- Poetry,2
South Pacific Ocean -- Juvenile fiction,2
Art -- Japan,2
"Giangaleazzo Visconti, Duke of Milan, 1351-1402 -- Fiction",2
Jesus Christ -- Drama,2
Plant collecting -- Africa -- Fiction,2
Jerusalem -- History -- Fiction,2
"Great Britain -- History -- Henry VI, 1422-1461 -- Fiction",2
Buddhism -- Japan,2
Bohuslän (Sweden) -- Fiction,2
"Champnell, Augustus (Fictitious character) -- Fiction",2
Maya language -- Texts,2
Wood-engraving -- Technique,2
Wood-engraving -- Printing,2
Papua (Indonesia) -- Discovery and exploration,2
Frontier and pioneer life -- Dakota Territory,2
"Talon, Jean, comte d'Orsainville, 1625?-1694",2
New Hampshire -- Poetry,2
Farm life -- Drama,2
Immortality -- Comparative studies,2
Esperanto literature,2
Birds -- Anatomy,2
Biogeography,2
Erie Canal (N.Y.),2
Incas -- History,2
Color prints,2
Family reunions -- Juvenile fiction,2
Derelicts -- Juvenile fiction,2
Fishers -- Drama,2
Medicine -- Study and teaching,2
Bicycles,2
Agriculture -- United States -- Statistics -- Periodicals,2
Oceania -- Religion,2
"Rattazzi, Marie, 1833-1902",2
Mines and mineral resources -- Colorado -- Fiction,2
"Ramón y Cajal, Santiago, 1852-1934",2
Anatomists -- Spain -- Biography,2
"Charlotte Augusta, Princess of Great Britain, 1796-1817",2
"Knight, Ellis Cornelia, 1757-1837",2
Ladies-in-waiting -- Great Britain -- Biography,2
"London (England) -- Buildings, structures, etc.",2
France -- History -- 1848-1870 -- Fiction,2
"Stevens, Thomas, 1854-1935 -- Travel",2
Sumerian language -- Texts,2
"Hymns, Sumerian",2
Religious thought -- England -- London,2
London (England) -- Religion,2
"Paraguayan War, 1865-1870",2
Harrow School -- Juvenile fiction,2
Fort Snelling (Minn.),2
Art -- England,2
Guano,2
Ulster (Northern Ireland and Ireland) -- Drama,2
Ethical culture movement,2
Cults,2
Mount Rainier National Park (Wash.),2
"Gilbert, William, 1544-1603",2
Alaska -- Gold discoveries -- Juvenile fiction,2
"United States. Army. New York Cavalry Regiment, 2nd (1861-1865)",2
French language -- Etymology,2
Coaching (Transportation) -- History,2
A5 Road (England and Wales),2
"Church, J. (John), approximately 1780-approximately 1825 -- Correspondence",2
"Safroni-Middleton, A. (Arnold), 1873-1950",2
Wigs,2
Indians of North America -- New York (State) -- Fiction,2
California -- History -- To 1846,2
"Materia medica, Vegetable -- India",2
"Adam, Juliette, 1836-1936",2
"Netherlands -- History -- House of Burgundy, 1384-1477 -- Juvenile fiction",2
Meat industry and trade,2
Sausages,2
"Danton, Georges Jacques, 1759-1794 -- Drama",2
Attitude (Psychology) -- Fiction,2
French language -- Errors of usage,2
Caucasus,2
Women -- United States -- Economic conditions,2
Italy -- Social life and customs -- Early works to 1800,2
Time capsules -- Fiction,2
United States. Marine Corps -- Fiction,2
"Dare, Virginia, 1587- -- Fiction",2
"Charlemagne, Emperor, 742-814 -- Romances -- Adaptations",2
"Thirty Years' War, 1618-1648 -- Juvenile fiction",2
Spain -- Colonies -- America,2
Clock and watch making,2
Outcasts -- Fiction,2
France -- History -- 1789-1793,2
German language -- Idioms,2
"Shackleton, Ernest Henry, Sir, 1874-1922",2
Quest (Ship),2
Pennsylvania -- History -- Fiction,2
Concerti grossi,2
Country life -- United States -- Poetry,2
Drama in education,2
"Malory, Thomas, Sir, active 15th century. Morte d'Arthur -- Adaptations",2
France -- History -- 1789-1900 -- Fiction,2
Mushrooms -- Identification,2
Clocks and watches -- Repairing,2
Turkey -- Juvenile fiction,2
"Scotland -- History -- Robert I, 1306-1329 -- Fiction",2
Everglades (Fla.) -- Fiction,2
"Scotland -- History -- War of Independence, 1285-1371 -- Fiction",2
"Robert I, King of Scots, 1274-1329 -- Fiction",2
London (England) -- Pictorial works -- Catalogs,2
Capital punishment,2
Bacteria,2
Somerset (England) -- Fiction,2
"France -- History -- Capetians, 987-1328 -- Fiction",2
Public libraries,2
Portugal -- Social life and customs -- Poetry,2
"Fort Dearborn Massacre, Chicago, Ill., 1812 -- Fiction",2
Printing -- England -- History,2
England -- Imprints,2
"William III, King of England, 1650-1702",2
Mysteries and miracle-plays,2
"Russo-Swedish War, 1808-1809",2
American literature -- New York (State) -- New York -- History and criticism,2
"Authors, American -- Homes and haunts -- New York (State) -- New York",2
Animal behavior -- Juvenile fiction,2
Plague -- England -- London -- Early works to 1800,2
Peasants -- Ireland -- Fiction,2
"Indiana -- History -- Civil War, 1861-1865 -- Fiction",2
West (U.S.) -- History -- 1848-1860,2
Education -- England,2
"Pastoral poetry, Greek -- Translations into English",2
"Russia -- History -- Nicholas I, 1825-1855 -- Fiction",2
Iceland -- Drama,2
"Mechthild, of Magdeburg, approximately 1212-approximately 1282",2
"Sorel, Agnès, approximately 1422-1450",2
"Sagunto (Spain) -- History -- Siege, 219-218 B.C. -- Fiction",2
Frogs -- Mexico,2
Checkers,2
"Finance, Personal -- Fiction",2
"Stock Exchange (London, England)",2
Art students -- Fiction,2
Africa -- Description and travel -- Juvenile literature,2
New York (State) -- Social life and customs -- To 1775,2
"Ghazzali, 1058-1111",2
Minstrel shows,2
"Hale, Nathan, 1755-1776",2
Christian patron saints -- Biography,2
Calendar -- Mexico,2
War -- Economic aspects,2
Weapons -- Catalogs,2
English literature -- Bibliography -- Early,2
Great Britain -- Imprints,2
Rio de la Plata (Argentina and Uruguay),2
Forest animals -- Fiction,2
Sailors -- England -- Biography,2
English language -- Capitalization,2
Anecdotes -- Great Britain,2
"Children's stories, New Zealand",2
Italian drama -- Italy -- Sicily,2
Macau (China : Special Administrative Region) -- History,2
Princes -- Russia -- Fiction,2
Australia -- History -- 1788-1900 -- Juvenile fiction,2
Family life -- Australia -- Juvenile fiction,2
Canaries,2
Nobility -- France -- Normandy -- Biography,2
Maternity nursing,2
Women employees -- Fiction,2
"Shelley, Percy Bysshe, 1792-1822 -- Criticism and interpretation",2
Northern Territory -- Description and travel,2
"Painting, Spanish",2
Painters -- Spain,2
Baseball coaches -- Juvenile fiction,2
Pitchers (Baseball) -- Juvenile fiction,2
Billiards,2
Mass media -- Audiences -- Fiction,2
Czech drama -- Translations into English,2
Hunting -- Dictionaries,2
Xhosa (African people) -- Fiction,2
Arranged marriage -- Drama,2
"Epic poetry, Sanskrit -- Translations into French",2
"Religious thought -- Middle Ages, 600-1500",2
Labor -- Biography,2
Working class -- Biography,2
Egypt -- Social life and customs -- 19th century,2
Santa Fe National Historic Trail -- Juvenile fiction,2
Theology -- History -- 16th century -- Early works to 1800,2
Test pilots -- Fiction,2
Abandoned mines -- Juvenile fiction,2
Flower language,2
Cirripedia,2
"Appomattox Campaign, 1865",2
Spermatogenesis,2
Portuguese language -- Dictionaries,2
Marriage customs and rites -- United States,2
Divorce -- United States,2
"United States -- History -- Civil War, 1861-1865 -- Caricatures and cartoons",2
United States -- Social life and customs -- Poetry,2
Books of Chilam Balam,2
General strikes,2
Labor unions,2
Lutheran Church -- Early works to 1800,2
Mont-Saint-Michel (Abbey : France),2
Queens -- Scotland -- Fiction,2
Naval battles -- Great Britain,2
Argentina -- Social conditions -- 20th century -- Fiction,2
Triton (Satellite) -- Fiction,2
Plumbing -- Amateurs' manuals,2
Enamel and enameling,2
United States -- Social life and customs -- 1775-1783,2
"Justice, Administration of",2
Portuguese literature -- 16th century,2
Naturalists -- France -- Biography,2
"Hornung, E. W. (Ernest William), 1866-1921 -- Parodies, imitations, etc.",2
Graffiti -- England -- History -- 18th century,2
Wheat trade -- Fiction,2
"Crusades -- First, 1096-1099",2
Prairies -- Fiction,2
Mysticism -- Great Britain,2
Palmistry,2
Libertarianism,2
Trees -- New England,2
"Great Britain -- History, Naval -- 18th century -- Fiction",2
Palestine -- Fiction,2
Witchcraft -- England -- History,2
"Novelists, Russian",2
Cynicism -- Fiction,2
"Germany -- History -- Coalition Wars, 1789-1814 -- Fiction",2
Weltschmerz,2
"Germany -- Social life and customs -- Middle Ages, 500-1500 -- Fiction",2
Saxon Switzerland (Germany) -- Description and travel,2
Natural theology -- Early works to 1800,2
India -- Social life and customs -- 19th century -- Juvenile fiction,2
Great Britain -- Economic policy,2
Courts -- Fiction,2
Language and languages -- Early works to 1800,2
Clans -- Scotland -- Highlands -- History,2
Scottish Gaelic philology,2
"Harte, Bret, 1836-1902",2
Home economics -- Fiction,2
Women dressmakers -- Fiction,2
Navigation -- Juvenile fiction,2
Composers -- Great Britain -- Correspondence,2
Aboriginal Australians -- Australia -- Queensland,2
Great Britain -- History -- Juvenile fiction,2
Cemeteries -- Fiction,2
"Jackson, William, 1730-1803 -- Correspondence",2
Sami (European people),2
Pioneers -- Ontario -- Biography,2
Storms -- Fiction,2
Cannibalism -- Fiction,2
Deaf -- Fiction,2
"Carson, Kit, 1809-1868 -- Fiction",2
Islamic decoration and ornament -- Spain,2
Hotels -- Drama,2
Art -- Spain,2
Navajo National Monument (Ariz.),2
Motion picture actors and actresses,2
"Ballads, Serbian",2
Romanticism -- France,2
Rodents,2
"Antin, Mary, 1881-1949",2
"Oklahoma -- History -- Land Rush, 1889 -- Juvenile fiction",2
"Sermons, American -- 20th century",2
Rest,2
Barbers -- Fiction,2
Photographers -- Juvenile fiction,2
Forensic scientists -- Fiction,2
Queensland -- Discovery and exploration,2
Ithaca (N.Y.) -- Fiction,2
Fairy tales -- Romania,2
Despair -- Juvenile fiction,2
Penis,2
Virgin Islands -- Juvenile fiction,2
Military hospitals,2
"United States -- History -- War of 1812 -- Participation, African American",2
Postal service -- Great Britain -- Colonies,2
"Short stories, Catalan",2
Stepfamilies -- Fiction,2
Astronomers -- Italy -- Biography,2
African Americans -- Conduct of life,2
Great Britain -- Social life and customs -- 20th century,2
Witchcraft -- History -- To 1500,2
Demonomania -- History -- To 1500,2
Superstition -- History -- To 1500,2
Satanism -- History -- To 1500,2
Clowns -- Juvenile fiction,2
"Hoffmann, E. T. A. (Ernst Theodor Amadeus), 1776-1822 -- Translations into English",2
"Oliveira Martins, J. P. (Joaquim Pedro), 1845-1894",2
Prejudices -- Juvenile fiction,2
"Vases, Greek",2
Virgil -- Influence,2
Virgil -- Criticism and interpretation -- History,2
"Pastoral poetry, Latin -- History and criticism",2
Constitutional law -- Great Britain,2
"Therapeutics, Physiological",2
London (England) -- Juvenile poetry,2
"David, Jacques Louis, 1748-1825",2
French-Canadians -- Fiction,2
Jesuits -- Canada,2
Guilt -- Juvenile fiction,2
