Topics,Subjects_Count
Women -- Fiction,81
Male friendship -- Fiction,81
Picaresque literature,81
French fiction -- Translations into Finnish,81
"Detective and mystery stories, English",80
"Napoleon I, Emperor of the French, 1769-1821",80
France -- Description and travel,80
Treasure troves -- Fiction,80
Students -- Juvenile fiction,80
Impostors and imposture -- Fiction,80
Girls -- Conduct of life -- Juvenile fiction,79
Socialism,79
Twins -- Juvenile fiction,79
German fiction -- Translations into Finnish,77
Russia -- Social life and customs -- Fiction,77
Castaways -- Fiction,77
West (U.S.) -- Description and travel,77
Evolution,77
Social problems,76
Outdoor life -- Juvenile fiction,76
Islands -- Juvenile fiction,76
Finnish poetry -- 20th century,76
"France -- History -- Revolution, 1789-1799 -- Fiction",76
Readers,76
Picture books for children,75
African Americans -- Fiction,75
Italy -- Description and travel,75
Diligence -- Juvenile fiction,75
England -- Description and travel,75
Religious fiction,74
Ireland -- Fiction,74
Birds -- Periodicals,74
Science,74
United States -- Social life and customs -- 20th century -- Fiction,73
Inheritance and succession -- Juvenile fiction,73
Nucleotide sequence,73
Africa -- Fiction,73
Kindness -- Juvenile fiction,72
New England -- Fiction,72
England -- Juvenile fiction,72
Dogs -- Fiction,72
Historical drama,72
Rescues -- Juvenile fiction,72
"World War, 1914-1918 -- Poetry",72
Manners and customs -- Fiction,72
Private investigators -- England -- Fiction,72
Detective and mystery stories -- Periodicals,72
Oceania -- Fiction,71
Frontier and pioneer life -- Fiction,71
Boys -- Conduct of life -- Juvenile fiction,71
"Short stories, Italian",71
Biography,70
Widows -- Fiction,70
"United States -- History -- Civil War, 1861-1865 -- Campaigns",70
English essays,70
Rabbits -- Juvenile fiction,69
Kings and rulers -- Juvenile fiction,69
Spain -- Description and travel,68
Sailors -- Fiction,68
Authors -- Fiction,68
Brothers -- Fiction,68
Cats -- Juvenile fiction,68
Pirates -- Juvenile fiction,68
Aesthetics,67
Religion,67
Hunting -- Juvenile fiction,67
Finnish fiction,67
United States -- History,67
Boy Scouts -- Juvenile fiction,67
Mothers and daughters -- Fiction,67
Education,66
Norwegian fiction -- Translations into Finnish,66
Classical literature,66
"Napoleon I, Emperor of the French, 1769-1821 -- Contemporaries",66
Diary fiction,66
Adultery -- Fiction,65
Birds,65
Natural history,65
Schools -- Fiction,64
Copyright -- United States -- Catalogs,64
Norway -- Fiction,64
"United States -- History -- Civil War, 1861-1865 -- Personal narratives, Confederate",64
Finnish drama,64
Quotations,63
Italian fiction,63
German fiction,63
Germany -- Fiction,63
Artists -- Fiction,63
Magic -- Juvenile fiction,63
Boats and boating -- Juvenile fiction,62
Natural history -- Outdoor books,62
Fairies -- Juvenile fiction,62
"France -- History -- Revolution, 1789-1799",62
Robots -- Fiction,62
Tales -- Arab countries,62
"Sermons, English -- 19th century",62
Evolution (Biology),61
Man-woman relationships -- Drama,61
Voyages around the world,61
Publishers' catalogs -- England -- London,61
Economics,60
Knights and knighthood -- Spain -- Fiction,60
Spain -- Social life and customs -- 16th century -- Fiction,60
Spanish fiction,60
Rich people -- Fiction,60
Utopias -- Fiction,60
Cooking,60
"Chinese fiction -- Qing dynasty, 1644-1912",60
"Authors, English -- 19th century -- Biography",60
Great Britain -- History,59
Young women -- Social life and customs -- Juvenile fiction,59
Farm life -- Juvenile fiction,59
Fathers and sons -- Juvenile fiction,59
"Short stories, German",59
Space travelers -- Fiction,59
Courtship -- Juvenile fiction,59
Oz (Imaginary place) -- Juvenile fiction,59
Marriage,59
Journalists -- Fiction,59
"History, Ancient",59
Country life -- Fiction,58
Russian fiction -- Translations into Finnish,58
France -- Social life and customs -- Fiction,58
Villages -- Fiction,58
Mythology,58
Spanish fiction -- 19th century,58
Guardian and ward -- Fiction,57
American wit and humor -- Periodicals,57
