Text#,Title,Language,Authors,Subjects,Bookshelves
59862,American renaissance; a review of domestic architecture,en,"Dow, Joy Wheeler, 1860-1937","Architecture, Domestic; Architecture -- United States",Browsing: Architecture; Browsing: Art & Photography; Browsing: Culture/Civilization/Society
59863,"Butchers', Packers' and Sausage Makers' Red Book",de; en,"Sayer, George Jacob, 1864-",Meat industry and trade; Sausages,Browsing: Business/Management; Browsing: Cooking & Drinking; Browsing: Science - General
59864,The Silver Arrow,en,"Hubbard, Elbert, 1856-1915","Raleigh, Walter, Sir, 1552?-1618; Dare, Virginia, 1587-",Browsing: History - British; Browsing: Literature
59865,The Elephant Man and Other Reminiscences,en,"Treves, Frederick, 1853-1923",Physicians -- Correspondence,Browsing: Biographies; Browsing: Health & Medicine
59866,Metsien mies,fi,"Grey, Zane, 1872-1939; Nyman, Väinö, 1880-1947 [Translator]",Western stories; Arizona -- Fiction; American fiction -- Translations into Finnish,Browsing: Literature; Browsing: Travel & Geography; Browsing: Fiction
59867,"Zion National Park, Utah (1951)",en,United States. National Park Service,Zion National Park (Utah) -- Guidebooks,Browsing: History - American; Browsing: Travel & Geography
59868,Harold the Klansman,en,"Brown, George Alfred, 1876-1961",Christian fiction; Ku Klux Klan (1915- ) -- Fiction,Browsing: Literature; Browsing: Religion/Spirituality/Paranormal; Browsing: Fiction
59869,"Grand Teton National Park, Wyoming (1952)",en,United States. National Park Service,Grand Teton National Park (Wyo.) -- Guidebooks,Browsing: History - American; Browsing: Travel & Geography
59870,Die Weiber am Brunnen: Roman,de,"Hamsun, Knut, 1859-1952; Klaiber, Pauline, 1855-1944 [Translator]",Norway -- Fiction,Browsing: Literature; Browsing: Fiction
59871,"Suomalaisia keskiajan tutkimuksia: Veroja, laitoksia, virkamiehiä",fi,"Voionmaa, Väinö, 1869-1947",Finland -- History; Finland -- Politics and government,Browsing: History - European; Browsing: History - Medieval/The Middle Ages
59872,Our Den,en,"Waterworth, E. M.",Conduct of life -- Juvenile fiction; Children -- Conduct of life -- Juvenile fiction; Boys -- Juvenile fiction; Brothers -- Juvenile fiction; Cousins -- Juvenile fiction; Inheritance and succession -- Juvenile fiction; Wills -- Juvenile fiction; Ghosts -- Juvenile fiction,Browsing: Children & Young Adult Reading; Browsing: Fiction
59873,The Sword of the King,en,"MacDonald, Ronald, 1860-1933","Great Britain -- History -- Restoration, 1660-1688 -- Fiction",Browsing: History - British; Browsing: Literature; Browsing: Fiction
59874,Around the End,en,"Barbour, Ralph Henry, 1870-1944; Relyea, C. M. (Charles M.), 1863-1932 [Illustrator]; Wrenn, Charles L. (Charles Lewis), 1880-1952 [Illustrator]",Boarding schools -- Juvenile fiction; Football stories,Browsing: Children & Young Adult Reading; Browsing: Fiction
59875,"Graphic illustrations of abortion and the diseases of menstruation
Consisting of Twelve Plates from Drawings Engraved on Stone, and Coloured by Mr. J. Perry, and Two Copper-plates from the Philosophical Transactions, Coloured by the Same Artist. the Whole Representing Forty-five Specimens of Aborted Ova and Adventitious Productions of the Uterus, With Preliminary Observations, Explanations of the Figures and Remarks, Anatomical and Physiological.",en,"Granville, A. B. (Augustus Bozzi), 1783-1872",Menstruation; Abortion,Browsing: Health & Medicine; Browsing: Science - General
59876,"Rago and Goni, the Tree-Dweller Children",en,"Wiley, Belle","Prehistoric peoples -- Juvenile fiction; Children, Prehistoric -- Juvenile fiction",Browsing: Children & Young Adult Reading; Browsing: Fiction
